Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2019-03-12,0,0,4505,531380.0,Enxurradas,2019/2020,961.1,2019-11-06,2.07,1.99,1.87,75230000,2263.819095477387,267025.1256281407,8350
2017-06-09,0,0,4133,28207.0,Enxurradas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,186.7600542250339,1274.6046091278808,8350
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,75230000,,,8350
2009-12-02,0,0,5012,0.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,75230000,1752.4475524475524,,8350
2003-12-17,0,0,0,0.0,Inundações,2003/2004,1990.2,2003-12-17,12.14,12.73,16.23,75230000,,,8350
2003-03-04,0,0,0,0.0,Enxurradas,2003/2004,1990.2,2003-12-17,12.14,12.73,16.23,75230000,,,8350
2002-11-25,0,0,0,0.0,Inundações,2002/2003,1179.6,2002-09-20,3.4,2.88,2.76,75230000,,,8350
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,75230000,,,8350
2019-03-12,0,0,4505,531380.0,Enxurradas,2019/2020,12371.6,2019-05-14,1.78,1.62,1.68,75550000,2780.864197530864,328012.3456790123,8350
2017-06-09,0,0,4133,28207.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,517.2715894868586,3530.2878598247808,8350
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,8350
2009-12-02,0,0,5012,0.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,2800.0,,8350
2003-12-17,0,0,0,0.0,Inundações,2003/2004,,,,,,75550000,,,8350
2003-03-04,0,0,0,0.0,Enxurradas,2003/2004,,,,,,75550000,,,8350
2002-11-25,0,0,0,0.0,Inundações,2002/2003,,,,,,75550000,,,8350
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,8350
2019-03-12,0,0,4505,531380.0,Enxurradas,2019/2020,961.1,2019-11-06,2.07,1.99,1.87,75230000,2263.819095477387,267025.1256281407,8350
2017-06-09,0,0,4133,28207.0,Enxurradas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,186.7600542250339,1274.6046091278808,8350
2010-12-07,0,0,0,0.0,Enxurradas,2010/2011,1027.4,2010-09-23,2.24,2.22,2.09,75230000,,,8350
2009-12-02,0,0,5012,0.0,Enxurradas,2009/2010,1176.3,2009-08-10,3.27,2.86,2.74,75230000,1752.4475524475524,,8350
2003-12-17,0,0,0,0.0,Inundações,2003/2004,1990.2,2003-12-17,12.14,12.73,16.23,75230000,,,8350
2003-03-04,0,0,0,0.0,Enxurradas,2003/2004,1990.2,2003-12-17,12.14,12.73,16.23,75230000,,,8350
2002-11-25,0,0,0,0.0,Inundações,2002/2003,1179.6,2002-09-20,3.4,2.88,2.76,75230000,,,8350
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,75230000,,,8350
