Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-06,0,0,105754,765000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,4755.125899280576,34397.48201438849,107368
2015-01-20,0,1,1,0.0,Alagamentos,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,0.2427184466019417,,107368
2014-07-08,0,0,17,0.0,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,1.5525114155251143,,107368
2007-03-02,2,0,562,1007300.0,Enxurradas,2007/2008,10725.8,2007-07-24,1.78,1.7,1.58,74100000,330.5882352941177,592529.4117647059,107368
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,107368
2023-10-06,0,0,105754,765000.0,Chuvas Intensas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,5031.113225499525,36393.910561370125,107368
2015-01-20,0,1,1,0.0,Alagamentos,2015/2016,1632.7,2015-07-15,6.69,6.61,6.29,72680000,0.151285930408472,,107368
2014-07-08,0,0,17,0.0,Chuvas Intensas,2014/2015,2224.5,2014-06-27,29.0,37.08,26.03,72680000,0.4584681769147788,,107368
2007-03-02,2,0,562,1007300.0,Enxurradas,2007/2008,1289.5,2007-07-23,3.11,2.91,2.97,72680000,193.12714776632305,346151.20274914085,107368
1992-06-02,0,0,0,0.0,Inundações,1992/1993,1124.1,1992-05-30,2.17,2.1,2.16,72680000,,,107368
