Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-18,0,0,5167,600000.0,Chuvas Intensas,2023/2024,958.0,2023-11-03,4.38,5.13,5.34,73350000,1007.2124756335282,116959.06432748538,4780,Sim
2019-01-14,0,0,0,200000.0,Chuvas Intensas,2019/2020,515.2,2019-05-12,1.63,1.68,1.55,73350000,,119047.61904761904,4780,Sim
2017-06-01,0,0,0,0.0,Enxurradas,2017/2018,906.7,2017-05-31,3.56,4.5,4.53,73350000,,,4780,Sim
2015-12-28,0,0,0,280104.0,Enxurradas,2015/2016,1495.3,2015-07-14,14.25,18.92,34.36,73350000,,14804.651162790697,4780,Sim
2014-07-29,0,0,50,1055000.0,Inundações,2014/2015,1888.1,2014-06-27,57.0,44.8,141.23,73350000,1.1160714285714286,23549.107142857145,4780,Sim
2011-01-21,0,0,0,0.0,Enxurradas,2011/2012,755.2,2011-06-22,2.85,3.05,2.85,73350000,,,4780,Sim
1993-10-07,0,0,0,0.0,Enxurradas,1993/1994,417.0,1993-09-23,1.36,1.35,1.3,73350000,,,4780,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,992.0,1992-05-28,5.18,5.6,5.97,73350000,,,4780,Sim
2023-10-18,0,0,5167,600000.0,Chuvas Intensas,2023/2024,1773.2,2023-11-17,5.12,5.86,5.34,72849000,881.7406143344709,102389.07849829351,4780,
2019-01-14,0,0,0,200000.0,Chuvas Intensas,2019/2020,1332.0,2019-05-31,3.15,2.47,2.6,72849000,,80971.65991902833,4780,
2017-06-01,0,0,0,0.0,Enxurradas,2017/2018,1092.8,2017-05-31,1.64,1.75,1.86,72849000,,,4780,
2015-12-28,0,0,0,280104.0,Enxurradas,2015/2016,976.9,2015-10-10,1.52,1.53,1.62,72849000,,183074.5098039216,4780,
2014-07-29,0,0,50,1055000.0,Inundações,2014/2015,2567.0,2014-06-27,41.0,51.9,22.82,72849000,0.9633911368015414,20327.552986512525,4780,
2011-01-21,0,0,0,0.0,Enxurradas,2011/2012,1893.0,2011-09-09,6.83,7.77,6.59,72849000,,,4780,
1993-10-07,0,0,0,0.0,Enxurradas,1993/1994,1168.7,1993-10-04,1.95,1.93,2.06,72849000,,,4780,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,2391.9,1992-07-01,20.5,30.28,16.42,72849000,,,4780,
2023-10-18,0,0,5167,600000.0,Chuvas Intensas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,245.81351094196003,28544.2435775452,4780,
2019-01-14,0,0,0,200000.0,Chuvas Intensas,2019/2020,729.3,2019-05-12,1.21,1.22,1.23,72680000,,163934.4262295082,4780,
2017-06-01,0,0,0,0.0,Enxurradas,2017/2018,1646.0,2017-05-31,7.25,6.85,6.48,72680000,,,4780,
2015-12-28,0,0,0,280104.0,Enxurradas,2015/2016,1632.7,2015-07-15,6.69,6.61,6.29,72680000,,42375.79425113464,4780,
2014-07-29,0,0,50,1055000.0,Inundações,2014/2015,2224.5,2014-06-27,29.0,37.08,26.03,72680000,1.348435814455232,28451.9956850054,4780,
2011-01-21,0,0,0,0.0,Enxurradas,2011/2012,1525.1,2011-07-22,5.44,5.02,4.92,72680000,,,4780,
1993-10-07,0,0,0,0.0,Enxurradas,1993/1994,1960.2,1993-07-05,14.5,16.57,13.65,72680000,,,4780,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,1124.1,1992-05-30,2.17,2.1,2.16,72680000,,,4780,
2023-10-18,0,0,5167,600000.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,1411.7486338797814,163934.4262295082,4780,
