Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-13,0,0,7878,786250.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,2697.945205479452,269263.698630137,6697,
2023-10-27,0,0,4000,50000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1369.86301369863,17123.287671232876,6697,
2019-05-24,0,0,2500,1167263.05,Enxurradas,2019/2020,10404.0,2019-05-13,1.89,2.48,1.55,74500000,1008.0645161290324,470670.5846774194,6697,
2018-10-18,0,0,0,0.0,Enxurradas,2018/2019,9050.3,2018-10-19,1.7,2.38,1.35,74500000,,,6697,
2017-07-03,0,0,2979,359077.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1071.5827338129498,129164.38848920864,6697,
2015-11-13,0,0,0,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,,,6697,
2014-07-18,0,0,5000,40000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1618.1229773462785,12944.983818770228,6697,
2014-05-22,0,0,4803,34500.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1554.368932038835,11165.04854368932,6697,
2011-02-25,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,6697,
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,6697,
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,6697,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,,,,,,74500000,,,6697,
2023-11-13,0,0,7878,786250.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,2123.4501347708897,211927.22371967652,6697,Sim
2023-10-27,0,0,4000,50000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,1078.167115902965,13477.088948787065,6697,Sim
2019-05-24,0,0,2500,1167263.05,Enxurradas,2019/2020,360.9,2019-05-11,1.22,1.2,1.2,74370000,2083.333333333333,972719.2083333334,6697,Sim
2018-10-18,0,0,0,0.0,Enxurradas,2018/2019,442.7,2018-11-01,1.48,1.46,1.47,74370000,,,6697,Sim
2017-07-03,0,0,2979,359077.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,252.88624787775893,30481.91850594228,6697,Sim
2015-11-13,0,0,0,0.0,Enxurradas,2015/2016,722.0,2015-12-15,4.77,4.56,4.6,74370000,,,6697,Sim
2014-07-18,0,0,5000,40000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,87.19916288803627,697.5933031042902,6697,Sim
2014-05-22,0,0,4803,34500.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,83.76351587024764,601.6742239274503,6697,Sim
2011-02-25,0,0,0,0.0,Enxurradas,2011/2012,850.7,2011-06-23,6.2,9.08,8.81,74370000,,,6697,Sim
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,,6697,Sim
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,,6697,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,960.9,1992-05-28,20.67,17.14,15.73,74370000,,,6697,Sim
