Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2020-07-08,0,0,110,0.0,Inundações,2020/2021,2291.6,2020-07-08,1.81,2.05,2.23,85400000,53.65853658536586,,15594
2019-10-31,0,0,0,0.0,Enxurradas,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,,,15594
2017-03-12,0,0,2874,422000.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,469.6078431372549,68954.24836601307,15594
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,15594
2010-01-04,1,0,6400,1838000.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,776.6990291262135,223058.2524271845,15594
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,15594
2007-09-23,0,0,550,1838000.0,Inundações,2007/2008,2949.5,2007-09-24,8.7,5.65,4.52,85400000,97.34513274336284,325309.73451327434,15594
2003-12-16,0,0,0,0.0,Enxurradas,2003/2004,3011.0,2003-12-16,14.5,6.4,4.85,85400000,,,15594
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,15594
1997-08-04,0,0,0,0.0,Enxurradas,1997/1998,3560.4,1997-10-16,43.5,25.51,9.43,85400000,,,15594
1994-02-21,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,85400000,,,15594
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,2841.0,1993-06-05,5.8,4.58,3.99,85400000,,,15594
