Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,0,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,,,5924
2023-11-03,0,0,5517,254737.8,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,248.06654676258995,11454.037769784172,5924
2023-10-17,0,0,577,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,25.944244604316548,,5924
2017-06-05,0,0,1110,520000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,226.99386503067487,106339.4683026585,5924
2014-07-04,0,0,890,408200.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,81.2785388127854,37278.53881278539,5924
2000-01-13,0,0,0,0.0,Enxurradas,2000/2001,16446.9,2000-10-14,3.0,3.21,3.04,74100000,,,5924
1997-09-29,0,0,0,0.0,Enxurradas,1997/1998,23764.7,1997-10-12,8.25,7.47,8.68,74100000,,,5924
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,5924
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,5924
2023-11-17,0,0,0,0.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,,,5924
2023-11-03,0,0,5517,254737.8,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,181.24178712220765,8368.52168199737,5924
2023-10-17,0,0,577,0.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,18.95532194480946,,5924
2017-06-05,0,0,1110,520000.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,392.226148409894,183745.58303886928,5924
2014-07-04,0,0,890,408200.0,Enxurradas,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,73.01066447908121,33486.46431501231,5924
2000-01-13,0,0,0,0.0,Enxurradas,2000/2001,804.8,2000-10-14,1.86,1.84,2.0,72630000,,,5924
1997-09-29,0,0,0,0.0,Enxurradas,1997/1998,1196.4,1997-10-12,6.27,7.9,6.7,72630000,,,5924
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,5924
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,5924
