Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-06-20,1,0,5511,19394500.0,Enxurradas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,139.55431754874652,491124.3352747531,83352
2015-10-20,0,6,2926,3103210.0,Inundações,2015/2016,872.9,2015-07-23,17.67,18.81,23.59,87382000,155.55555555555557,164976.60818713452,83352
2015-07-16,0,82,37051,10132911.0,Enxurradas,2015/2016,872.9,2015-07-23,17.67,18.81,23.59,87382000,1969.750132908028,538698.086124402,83352
2013-11-19,0,0,4025,776000.0,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,94.24022477171624,18169.047061578083,83352
2013-10-30,0,42,15187,7817306.65,Inundações,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,355.58417232498243,183032.232498244,83352
2013-08-28,0,27,7929,5518500.0,Enxurradas,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,185.6473893701709,129208.616249122,83352
2012-09-21,0,0,0,0.0,Enxurradas,2012/2013,432.1,2012-09-23,1.89,2.0,1.93,87382000,,,83352
2011-03-16,0,0,1857,0.0,Enxurradas,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,257.202216066482,,83352
2011-02-06,1,18,1929,0.0,Inundações,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,267.1745152354571,,83352
2010-03-20,0,0,180,0.0,Enxurradas,2010/2011,398.4,2010-07-26,1.77,1.74,1.68,87382000,103.44827586206895,,83352
2002-08-05,0,0,0,0.0,Enxurradas,2002/2003,589.2,2002-06-15,4.08,4.25,4.28,87382000,,,83352
2002-07-27,0,0,377,0.0,Inundações,2002/2003,589.2,2002-06-15,4.08,4.25,4.28,87382000,88.70588235294117,,83352
1993-07-06,0,0,0,0.0,Inundações,1993/1994,558.5,1993-07-09,3.31,3.64,3.61,87382000,,,83352
