Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-16,0,0,1312,647000.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,776.3313609467456,382840.2366863905,34669
2023-09-06,4,309,33607,30039250.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,19885.798816568047,17774704.142011836,34669
2021-09-16,0,0,1800,8000000.0,Inundações,2021/2022,289.0,2021-05-29,1.26,1.27,1.25,86745000,1417.3228346456692,6299212.5984251965,34669
2020-07-14,0,0,4128,44346000.0,Inundações,2020/2021,680.0,2020-07-08,5.67,5.28,5.49,86745000,781.8181818181818,8398863.636363637,34669
2017-06-09,0,0,220,293464.0,Inundações,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,63.40057636887608,84571.75792507204,34669
2016-07-15,0,0,0,0.0,Alagamentos,2016/2017,402.8,2016-10-19,1.74,1.73,1.71,86745000,,,34669
2015-09-14,0,0,0,142621.0,Enxurradas,2015/2016,389.5,2015-10-09,1.62,1.66,1.64,86745000,,85916.26506024097,34669
2014-03-06,0,0,0,0.0,Enxurradas,2014/2015,363.5,2014-10-18,1.48,1.53,1.51,86745000,,,34669
2013-12-05,0,0,0,123141.36,Enxurradas,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,,80484.54901960785,34669
2013-09-11,0,0,414,99124.53,Inundações,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,270.5882352941176,64787.27450980392,34669
2011-07-21,0,0,15925,3931570.0,Inundações,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,8654.891304347826,2136722.8260869565,34669
2010-03-12,0,0,0,0.0,Inundações,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,34669
2010-01-04,0,0,150,0.0,Inundações,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,1.4113662024840046,,34669
2009-09-13,0,0,1463,4000.0,Inundações,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,578.2608695652175,1581.0276679841895,34669
2008-10-27,0,2,14004,2708000.0,Inundações,2008/2009,619.8,2008-10-26,5.23,4.03,4.14,86745000,3474.9379652605458,671960.2977667493,34669
2003-02-20,0,0,164,784000.0,Inundações,2003/2004,719.9,2003-07-09,6.18,6.35,6.66,86745000,25.826771653543307,123464.56692913389,34669
2002-06-12,0,0,484,63000.0,Inundações,2002/2003,503.0,2002-07-02,2.62,2.48,2.48,86745000,195.16129032258064,25403.225806451614,34669
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,34669
1992-06-02,0,0,0,0.0,Inundações,1992/1993,228.9,1992-05-28,1.11,1.13,1.12,86745000,,,34669
2023-11-16,0,0,1312,647000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,95.836376917458,47260.77428780132,34669
2023-09-06,4,309,33607,30039250.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,2454.8575602629658,2194247.626004383,34669
2021-09-16,0,0,1800,8000000.0,Inundações,2021/2022,2780.1,2021-06-28,1.11,1.09,1.09,86720000,1651.3761467889908,7339449.541284403,34669
2020-07-14,0,0,4128,44346000.0,Inundações,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,192.0,2062604.6511627904,34669
2017-06-09,0,0,220,293464.0,Inundações,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,127.16763005780346,169632.36994219653,34669
2016-07-15,0,0,0,0.0,Alagamentos,2016/2017,10429.0,2016-10-20,4.6,6.52,6.64,86720000,,,34669
2015-09-14,0,0,0,142621.0,Enxurradas,2015/2016,9802.4,2015-10-09,3.63,5.34,5.42,86720000,,26708.05243445693,34669
2014-03-06,0,0,0,0.0,Enxurradas,2014/2015,6011.1,2014-10-19,1.86,1.85,1.85,86720000,,,34669
