Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-08,0,0,0,0.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,,,2310
2017-06-01,0,0,0,530000.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,,66332.91614518147,2310
2015-12-30,0,0,14,456114.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,3.0701754385964914,100025.0,2310
2002-11-05,0,0,0,0.0,Inundações,2002/2003,,,,,,75550000,,,2310
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,14420.3,1994-07-08,2.0,2.04,2.14,75550000,,,2310
2023-09-08,0,0,0,0.0,Chuvas Intensas,2023/2024,682.5,2023-11-18,2.74,2.8,3.0,75295000,,,2310
2017-06-01,0,0,0,530000.0,Chuvas Intensas,2017/2018,810.1,2017-05-28,4.33,6.59,5.42,75295000,,80424.88619119879,2310
2015-12-30,0,0,14,456114.0,Enxurradas,2015/2016,956.8,2015-12-27,52.0,27.23,11.31,75295000,0.5141388174807198,16750.42232831436,2310
2002-11-05,0,0,0,0.0,Inundações,2002/2003,694.9,2002-10-13,2.89,3.0,3.17,75295000,,,2310
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,848.0,1994-07-08,5.78,9.07,6.53,75295000,,,2310
