Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-03-23,0,0,403,514900.0,Enxurradas,2017/2018,3459.4,2017-06-01,9.0,8.86,5.48,85642000,45.48532731376975,58115.12415349887,6651,Sim
2015-10-15,0,0,1074,230115.0,Chuvas Intensas,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,6.451225372417108,1382.238106679481,6651,Sim
2014-12-31,0,0,0,16000.0,Enxurradas,2014/2015,2831.0,2014-07-27,2.5,2.63,2.69,85642000,,6083.650190114069,6651,Sim
2013-11-27,0,0,120,1260000.0,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,51.06382978723404,536170.2127659575,6651,Sim
2013-11-19,0,0,0,152000.0,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,,64680.85106382978,6651,Sim
2010-12-04,0,0,0,0.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,6651,Sim
2010-01-04,0,0,3344,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,1100.0,,6651,Sim
2009-12-02,0,0,0,260000.0,Enxurradas,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,60324.82598607889,6651,Sim
2003-12-16,0,0,0,0.0,Inundações,2003/2004,2807.8,2003-12-18,2.37,2.54,2.62,85642000,,,6651,Sim
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,6651,Sim
2001-01-08,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,6651,Sim
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3049.2,1997-10-18,5.0,3.74,3.4,85642000,,,6651,Sim
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,6651,Sim
