Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-17,0,0,1668,1674800.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,75.0,75305.75539568346,1709,
2023-09-01,0,0,0,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,,,1709,
2018-01-21,0,0,1000,200100.0,Enxurradas,2018/2019,7348.2,2018-10-19,1.2,1.24,1.22,74100000,806.4516129032259,161370.96774193548,1709,
2018-01-16,0,0,0,0.0,Enxurradas,2018/2019,7348.2,2018-10-19,1.2,1.24,1.22,74100000,,,1709,
2017-06-02,0,0,1000,25000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,204.4989775051125,5112.474437627812,1709,
2016-10-19,0,0,0,500000.0,Enxurradas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,,471698.1132075472,1709,
2014-07-09,0,0,1500,1150000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,136.986301369863,105022.83105022831,1709,
2023-11-17,0,0,1668,1674800.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,54.796320630749015,55019.71090670171,1709,Sim
2023-09-01,0,0,0,0.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,,,1709,Sim
2018-01-21,0,0,1000,200100.0,Enxurradas,2018/2019,700.6,2018-09-03,1.44,1.47,1.56,72630000,680.2721088435375,136122.44897959183,1709,Sim
2018-01-16,0,0,0,0.0,Enxurradas,2018/2019,700.6,2018-09-03,1.44,1.47,1.56,72630000,,,1709,Sim
2017-06-02,0,0,1000,25000.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,353.356890459364,8833.922261484098,1709,Sim
2016-10-19,0,0,0,500000.0,Enxurradas,2016/2017,1222.8,2016-10-20,9.86,9.01,7.34,72630000,,55493.89567147614,1709,Sim
2014-07-09,0,0,1500,1150000.0,Enxurradas,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,123.05168170631666,94339.62264150944,1709,Sim
