Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2019-10-31,0,0,0,0.0,Enxurradas,2019/2020,,,,,,86895000,,,10181,
2017-05-27,0,0,6431,677680.0,Enxurradas,2017/2018,,,,,,86895000,,,10181,
2017-01-16,0,0,6619,737454.0,Enxurradas,2017/2018,,,,,,86895000,,,10181,
2013-09-09,0,0,1122,2800000.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,200.3571428571429,500000.00000000006,10181,
2011-08-02,0,0,0,755000.0,Enxurradas,2011/2012,8847.8,2011-07-21,25.0,11.58,6.66,86895000,,65198.618307426594,10181,
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,10181,
2010-04-05,6,0,6506,2463000.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1423.63238512035,538949.6717724289,10181,
2010-01-03,0,0,7155,595000.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1565.6455142231946,130196.93654266956,10181,
2009-11-20,0,0,0,266000.0,Enxurradas,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,44556.11390284757,10181,
2009-09-08,0,0,0,595000.0,Enxurradas,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,99664.99162479062,10181,
2008-10-22,0,0,0,888000.0,Enxurradas,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,,97368.4210526316,10181,
2007-09-23,0,0,0,286000.0,Inundações,2007/2008,8325.0,2007-07-11,10.0,7.38,5.28,86895000,,38753.38753387534,10181,
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,6503.4,2003-02-21,2.17,2.34,2.51,86895000,,,10181,
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,10181,
1992-07-15,0,0,0,0.0,Inundações,1992/1993,7977.1,1992-05-29,5.56,5.64,4.54,86895000,,,10181,
2019-10-31,0,0,0,0.0,Enxurradas,2019/2020,305.7,2019-11-05,1.33,1.31,1.3,86745000,,,10181,Sim
2017-05-27,0,0,6431,677680.0,Enxurradas,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,1853.314121037464,195296.82997118155,10181,Sim
2017-01-16,0,0,6619,737454.0,Enxurradas,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,1907.492795389049,212522.7665706052,10181,Sim
2013-09-09,0,0,1122,2800000.0,Enxurradas,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,733.3333333333334,1830065.359477124,10181,Sim
2011-08-02,0,0,0,755000.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,410326.0869565217,10181,Sim
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,10181,Sim
2010-04-05,6,0,6506,2463000.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,61.21565675573955,23174.633044787355,10181,Sim
2010-01-03,0,0,7155,595000.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,67.32216785848702,5598.419269853218,10181,Sim
2009-11-20,0,0,0,266000.0,Enxurradas,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,,105138.33992094862,10181,Sim
2009-09-08,0,0,0,595000.0,Enxurradas,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,,235177.86561264825,10181,Sim
2008-10-22,0,0,0,888000.0,Enxurradas,2008/2009,619.8,2008-10-26,5.23,4.03,4.14,86745000,,220347.3945409429,10181,Sim
2007-09-23,0,0,0,286000.0,Inundações,2007/2008,231.2,2007-05-17,1.13,1.14,1.13,86745000,,250877.19298245612,10181,Sim
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,719.9,2003-07-09,6.18,6.35,6.66,86745000,,,10181,Sim
2001-07-23,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,10181,Sim
1992-07-15,0,0,0,0.0,Inundações,1992/1993,228.9,1992-05-28,1.11,1.13,1.12,86745000,,,10181,Sim
