Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,TR Log-Pearson 3,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-22,0,0,0,0.0,Chuvas Intensas,2023/2024,292.4,2023-11-15,1.71,1.88,2.09,1.87,85623000,,,6569,
2019-05-30,0,0,0,0.0,Chuvas Intensas,2019/2020,326.0,2019-07-25,2.05,2.44,2.62,2.33,85623000,,,6569,
2016-01-05,0,0,0,228065.0,Enxurradas,2016/2017,327.7,2016-07-12,2.16,2.48,2.65,2.36,85623000,,91961.69354838708,6569,
2010-12-03,0,0,0,0.0,Inundações,2010/2011,358.3,2010-09-14,2.73,3.33,3.31,3.04,85623000,,,6569,
2009-12-03,0,0,0,0.0,Inundações,2009/2010,364.6,2009-11-19,3.73,3.57,3.47,3.23,85623000,,,6569,
2009-02-10,0,0,0,0.0,Inundações,2009/2010,364.6,2009-11-19,3.73,3.57,3.47,3.23,85623000,,,6569,
2023-09-22,0,0,0,0.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,24.66,85642000,,,6569,Sim
2019-05-30,0,0,0,0.0,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,8.35,85642000,,,6569,Sim
2016-01-05,0,0,0,228065.0,Enxurradas,2016/2017,3578.7,2016-10-22,15.0,12.02,6.34,11.02,85642000,,18973.79367720466,6569,Sim
2010-12-03,0,0,0,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,2.93,85642000,,,6569,Sim
2009-12-03,0,0,0,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,4.04,85642000,,,6569,Sim
2009-02-10,0,0,0,0.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,4.04,85642000,,,6569,Sim
2023-09-22,0,0,0,0.0,Chuvas Intensas,2023/2024,890.2,2023-11-17,2.12,2.49,2.6,2.45,85600000,,,6569,
2019-05-30,0,0,0,0.0,Chuvas Intensas,2019/2020,1293.7,2019-11-02,9.44,8.16,7.56,7.71,85600000,,,6569,
2016-01-05,0,0,0,228065.0,Enxurradas,2016/2017,1157.8,2016-10-21,4.05,5.25,5.17,4.96,85600000,,43440.95238095238,6569,
2010-12-03,0,0,0,0.0,Inundações,2010/2011,908.3,2010-01-22,2.43,2.61,2.71,2.55,85600000,,,6569,
2009-12-03,0,0,0,0.0,Inundações,2009/2010,1301.6,2009-11-24,10.62,8.39,7.73,7.93,85600000,,,6569,
2009-02-10,0,0,0,0.0,Inundações,2009/2010,1301.6,2009-11-24,10.62,8.39,7.73,7.93,85600000,,,6569,
