Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,235,300249.32,Enxurradas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,139.05325443786984,177662.31952662722,2389,Sim
2017-06-08,0,0,0,100000.0,Enxurradas+Inundações,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,,28818.44380403458,2389,Sim
2011-04-14,0,0,0,374100.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,203315.21739130435,2389,Sim
2010-06-14,0,0,0,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,2389,Sim
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,2389,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,2389,Sim
2023-11-20,0,0,235,300249.32,Enxurradas,2023/2024,,,,,,86895000,,,2389,
2017-06-08,0,0,0,100000.0,Enxurradas+Inundações,2017/2018,,,,,,86895000,,,2389,
2011-04-14,0,0,0,374100.0,Enxurradas,2011/2012,8847.8,2011-07-21,25.0,11.58,6.66,86895000,,32305.69948186529,2389,
2010-06-14,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,2389,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,2389,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,2389,
