Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-17,0,0,1677,975000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,122.4981738495252,71219.86851716581,1619,
2023-10-17,0,0,1677,890000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,122.4981738495252,65010.9569028488,1619,
2023-09-04,0,0,1677,1120000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,122.4981738495252,81811.54127100074,1619,
2020-07-14,0,0,50,0.0,Enxurradas,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,2.3255813953488373,,1619,
2017-05-27,0,0,935,59434.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,540.4624277456647,34354.91329479769,1619,
2016-10-19,0,0,953,430000.0,Enxurradas,2016/2017,10429.0,2016-10-20,4.6,6.52,6.64,86720000,146.16564417177915,65950.92024539878,1619,
2014-07-16,0,0,953,260000.0,Enxurradas,2014/2015,6011.1,2014-10-19,1.86,1.85,1.85,86720000,515.1351351351351,140540.54054054053,1619,
2011-03-26,0,0,0,320000.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,18768.3284457478,1619,
2010-12-01,0,0,0,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,,,1619,
2009-12-01,0,0,1270,0.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,274.29805615550754,,1619,
2023-11-17,0,0,1677,975000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,614.2857142857143,357142.8571428572,1619,Sim
2023-10-17,0,0,1677,890000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,614.2857142857143,326007.326007326,1619,Sim
2023-09-04,0,0,1677,1120000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,614.2857142857143,410256.4102564103,1619,Sim
2020-07-14,0,0,50,0.0,Enxurradas,2020/2021,1547.9,2020-07-08,86.0,55.63,30.08,86560000,0.8987956138774043,,1619,Sim
2017-05-27,0,0,935,59434.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,69.46508172362556,4415.601783060921,1619,Sim
2016-10-19,0,0,953,430000.0,Enxurradas,2016/2017,1183.3,2016-10-20,6.62,9.97,8.6,86560000,95.58676028084253,43129.38816449348,1619,Sim
2014-07-16,0,0,953,260000.0,Enxurradas,2014/2015,776.8,2014-10-19,2.26,2.33,2.45,86560000,409.0128755364807,111587.98283261804,1619,Sim
2011-03-26,0,0,0,320000.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,233576.6423357664,1619,Sim
2010-12-01,0,0,0,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,,,1619,Sim
2009-12-01,0,0,1270,0.0,Enxurradas,2009/2010,950.8,2009-09-12,3.74,4.02,4.06,86560000,315.9203980099503,,1619,Sim
