Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-16,0,0,16156,1809000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,726.4388489208634,81339.92805755396,16158,
2017-05-23,0,0,200,0.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,40.899795501022496,,16158,
2016-10-19,0,0,504,1160359.0,Enxurradas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,475.47169811320754,1094678.3018867923,16158,
2015-12-28,0,0,0,30125.0,Enxurradas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,,7311.893203883495,16158,
2014-07-01,0,0,0,0.0,Inundações,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,,,16158,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,16158,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,16158,
2023-11-16,0,0,16156,1809000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,530.7490144546649,59428.383705650456,16158,Sim
2017-05-23,0,0,200,0.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,70.6713780918728,,16158,Sim
2016-10-19,0,0,504,1160359.0,Enxurradas,2016/2017,1222.8,2016-10-20,9.86,9.01,7.34,72630000,55.937846836847946,128785.68257491676,16158,Sim
2015-12-28,0,0,0,30125.0,Enxurradas,2015/2016,1157.0,2015-07-15,5.31,6.55,5.86,72630000,,4599.236641221374,16158,Sim
2014-07-01,0,0,0,0.0,Inundações,2014/2015,1281.1,2014-06-27,11.5,12.19,8.99,72630000,,,16158,Sim
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,16158,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,16158,Sim
