Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-03,0,0,3000,350000.0,Chuvas Intensas,2017/2018,277.3,2017-04-26,10.62,11.12,8.03,74880000,269.7841726618705,31474.820143884896,15729
2017-04-12,0,0,5000,1753000.0,Chuvas Intensas,2017/2018,277.3,2017-04-26,10.62,11.12,8.03,74880000,449.6402877697842,157643.88489208635,15729
2003-11-18,0,0,0,0.0,Enxurradas,2003/2004,274.3,2003-12-16,9.44,10.27,7.63,74880000,,,15729
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,293.8,1994-02-18,21.25,17.57,10.67,74880000,,,15729
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,278.8,1993-03-10,12.14,11.57,8.24,74880000,,,15729
1992-10-22,0,0,0,0.0,Inundações,1992/1993,323.0,1992-05-28,42.5,43.08,17.83,74880000,,,15729
2017-06-03,0,0,3000,350000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,974.025974025974,113636.36363636365,15729
2017-04-12,0,0,5000,1753000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1623.3766233766232,569155.8441558442,15729
2003-11-18,0,0,0,0.0,Enxurradas,2003/2004,14408.0,2003-12-24,1.72,1.62,1.5,74800000,,,15729
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,18737.5,1994-07-07,2.05,2.4,2.2,74800000,,,15729
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,26346.6,1993-07-07,5.38,5.02,5.13,74800000,,,15729
1992-10-22,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,15729
2017-06-03,0,0,3000,350000.0,Chuvas Intensas,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,91.46341463414636,10670.731707317074,15729
2017-04-12,0,0,5000,1753000.0,Chuvas Intensas,2017/2018,210.7,2017-04-25,31.5,32.8,17.11,74750000,152.43902439024393,53445.12195121952,15729
2003-11-18,0,0,0,0.0,Enxurradas,2003/2004,182.6,2003-12-12,10.5,11.24,8.51,74750000,,,15729
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,126.8,1994-06-01,2.25,2.29,2.42,74750000,,,15729
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,74.4,1993-06-17,1.15,1.14,1.14,74750000,,,15729
1992-10-22,0,0,0,0.0,Inundações,1992/1993,182.6,1992-05-27,9.0,11.24,8.51,74750000,,,15729
2017-06-03,0,0,3000,350000.0,Chuvas Intensas,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,332.96337402885683,38845.7269700333,15729
2017-04-12,0,0,5000,1753000.0,Chuvas Intensas,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,554.9389567147614,194561.59822419533,15729
2003-11-18,0,0,0,0.0,Enxurradas,2003/2004,413.0,2003-12-13,7.73,8.34,6.21,74700000,,,15729
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,351.2,1994-04-26,3.27,3.78,3.76,74700000,,,15729
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,288.7,1993-07-05,2.3,2.13,2.37,74700000,,,15729
1992-10-22,0,0,0,0.0,Inundações,1992/1993,437.4,1992-05-29,21.25,12.17,7.63,74700000,,,15729
