Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,2,2,32300,22350000.0,Enxurradas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,971.4285714285714,672180.4511278196,36864,
2023-09-04,0,0,0,0.0,Enxurradas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,,,36864,
2023-06-16,0,0,531,0.0,Enxurradas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,15.969924812030076,,36864,
2022-11-06,0,0,0,0.0,Alagamentos,2022/2023,282.1,2022-05-22,1.43,1.5,1.66,87380000,,,36864,
2018-09-24,0,0,0,200.0,Chuvas Intensas,2018/2019,483.7,2018-09-06,21.75,12.56,6.62,87380000,,15.92356687898089,36864,
2018-08-24,0,0,0,0.0,Movimento de Massa,2018/2019,483.7,2018-09-06,21.75,12.56,6.62,87380000,,,36864,
2016-10-17,0,0,143,0.0,Movimento de Massa,2016/2017,423.5,2016-10-21,4.83,5.11,4.16,87380000,27.984344422700584,,36864,
2011-07-20,0,0,36,0.0,Movimento de Massa,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,2.9702970297029703,,36864,
2002-06-11,0,1,121,1040000.0,Movimento de Massa,2002/2003,435.2,2002-06-14,5.12,5.97,4.55,87380000,20.268006700167504,174204.35510887773,36864,
2023-11-18,2,2,32300,22350000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,118.03398501735796,81673.67074730496,36864,Sim
2023-09-04,0,0,0,0.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,,,36864,Sim
2023-06-16,0,0,531,0.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,1.940434862050064,,36864,Sim
2022-11-06,0,0,0,0.0,Alagamentos,2022/2023,467.4,2022-06-23,1.58,1.51,1.53,87160000,,,36864,Sim
2018-09-24,0,0,0,200.0,Chuvas Intensas,2018/2019,443.5,2018-10-03,1.45,1.44,1.46,87160000,,138.88888888888889,36864,Sim
2018-08-24,0,0,0,0.0,Movimento de Massa,2018/2019,443.5,2018-10-03,1.45,1.44,1.46,87160000,,,36864,Sim
2016-10-17,0,0,143,0.0,Movimento de Massa,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,39.61218836565097,,36864,Sim
2011-07-20,0,0,36,0.0,Movimento de Massa,2011/2012,1142.3,2011-07-21,16.8,11.82,11.05,87160000,3.045685279187817,,36864,Sim
2002-06-11,0,1,121,1040000.0,Movimento de Massa,2002/2003,695.9,2002-06-12,2.21,2.62,2.67,87160000,46.18320610687023,396946.56488549616,36864,Sim
