Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-22,0,0,0,0.0,Inundações,2023/2024,,,,,,87401600,,,285564,
2023-09-26,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-09-21,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-09-07,0,0,401,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-06-17,1,0,7265,17580000.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2015-10-21,0,0,6705,42544130.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,6447.115384615385,40907817.307692304,285564,
2015-08-03,0,25,7205,42200129.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,6927.884615384615,40577047.115384616,285564,
2013-11-23,1,2,8274,10435000.0,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,132.34165067178503,166906.5898912348,285564,
2013-09-05,0,0,5509,13615000.0,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,88.11580294305821,217770.31349968008,285564,
2000-12-19,0,0,0,0.0,Enxurradas,2000/2001,11.0,2000-09-20,1.57,2.09,2.25,87401600,,,285564,
2023-11-22,0,0,0,0.0,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-26,0,0,0,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-21,0,0,0,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-07,0,0,401,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,38.55769230769231,,285564,
2023-06-17,1,0,7265,17580000.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,698.5576923076923,1690384.6153846153,285564,
2015-10-21,0,0,6705,42544130.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,126.48556876061122,802568.006036597,285564,
2015-08-03,0,25,7205,42200129.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,135.91775136766648,796078.6455385777,285564,
2013-11-23,1,2,8274,10435000.0,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,97.27251351986833,122678.1095697155,285564,
2013-09-05,0,0,5509,13615000.0,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,64.76604749588526,160063.4845991065,285564,
2000-12-19,0,0,0,0.0,Enxurradas,2000/2001,113.7,2000-09-26,1.92,2.07,2.18,87399000,,,285564,
2023-11-22,0,0,0,0.0,Inundações,2023/2024,,,,,,87401600,,,285564,
2023-09-26,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-09-21,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-09-07,0,0,401,0.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2023-06-17,1,0,7265,17580000.0,Chuvas Intensas,2023/2024,,,,,,87401600,,,285564,
2015-10-21,0,0,6705,42544130.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,6447.115384615385,40907817.307692304,285564,
2015-08-03,0,25,7205,42200129.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,6927.884615384615,40577047.115384616,285564,
2013-11-23,1,2,8274,10435000.0,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,132.34165067178503,166906.5898912348,285564,
2013-09-05,0,0,5509,13615000.0,Inundações,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,88.11580294305821,217770.31349968008,285564,
2000-12-19,0,0,0,0.0,Enxurradas,2000/2001,11.0,2000-09-20,1.57,2.09,2.25,87401600,,,285564,
2023-11-22,0,0,0,0.0,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-26,0,0,0,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-21,0,0,0,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,,,285564,
2023-09-07,0,0,401,0.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,38.55769230769231,,285564,
2023-06-17,1,0,7265,17580000.0,Chuvas Intensas,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,698.5576923076923,1690384.6153846153,285564,
2015-10-21,0,0,6705,42544130.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,126.48556876061122,802568.006036597,285564,
2015-08-03,0,25,7205,42200129.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,135.91775136766648,796078.6455385777,285564,
2013-11-23,1,2,8274,10435000.0,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,97.27251351986833,122678.1095697155,285564,
