Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-05,0,0,25268,2900000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,6529.1989664082685,749354.0051679587,26199,
2017-06-08,0,2,1500,3676865.0,Enxurradas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,319.8294243070362,783979.7441364605,26199,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,,26199,
2000-07-02,0,0,0,0.0,Inundações,2000/2001,1018.8,2000-10-13,4.78,5.56,5.64,86500000,,,26199,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,586.3,1994-04-26,1.69,1.63,1.63,86500000,,,26199,
2023-09-05,0,0,25268,2900000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,3307.329842931937,379581.1518324608,26199,Sim
2017-06-08,0,2,1500,3676865.0,Enxurradas,2017/2018,2777.3,2017-06-08,14.33,13.51,19.81,86580000,111.02886750555145,272158.77128053294,26199,Sim
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1784.3,2010-09-22,3.91,4.32,4.32,86580000,,,26199,Sim
2000-07-02,0,0,0,0.0,Inundações,2000/2001,1978.7,2000-10-13,5.06,5.42,5.74,86580000,,,26199,Sim
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,1060.6,1994-07-07,1.95,1.88,1.73,86580000,,,26199,Sim
2023-09-05,0,0,25268,2900000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,2986.7612293144207,342789.598108747,26199,
2017-06-08,0,2,1500,3676865.0,Enxurradas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,937.5,2298040.625,26199,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,,,26199,
2000-07-02,0,0,0,0.0,Inundações,2000/2001,7898.3,2000-10-13,4.3,4.68,4.7,86510000,,,26199,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,4167.0,1994-07-02,1.48,1.44,1.47,86510000,,,26199,
2023-09-05,0,0,25268,2900000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,6529.1989664082685,749354.0051679587,26199,
2017-06-08,0,2,1500,3676865.0,Enxurradas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,319.8294243070362,783979.7441364605,26199,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,,,26199,
2000-07-02,0,0,0,0.0,Inundações,2000/2001,1018.8,2000-10-13,4.78,5.56,5.64,86500000,,,26199,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,586.3,1994-04-26,1.69,1.63,1.63,86500000,,,26199,
