Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-09,0,0,2963,3106000.0,Enxurradas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,370.8385481852315,388735.9198998748,7393
2015-12-17,0,0,3000,170131.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,657.8947368421053,37309.429824561405,7393
2014-10-11,0,0,8,2115000.0,Enxurradas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,0.5445881552076243,143975.49353301566,7393
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,7393
2009-11-25,0,0,0,5524200.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,3086145.251396648,7393
2003-04-29,0,0,0,82913.35,Enxurradas,2003/2004,,,,,,75550000,,,7393
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,7393
2017-06-09,0,0,2963,3106000.0,Enxurradas,2017/2018,277.3,2017-04-26,10.62,11.12,8.03,74880000,266.4568345323741,279316.54676258995,7393
2015-12-17,0,0,3000,170131.0,Enxurradas,2015/2016,241.1,2015-12-15,4.47,4.67,4.4,74880000,642.3982869379015,36430.620985010704,7393
2014-10-11,0,0,8,2115000.0,Enxurradas,2014/2015,272.1,2014-10-01,7.73,9.7,7.35,74880000,0.8247422680412372,218041.23711340208,7393
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,173.3,2010-12-13,1.49,1.59,1.7,74880000,,,7393
2009-11-25,0,0,0,5524200.0,Enxurradas,2009/2010,241.1,2009-11-23,4.72,4.67,4.4,74880000,,1182912.205567452,7393
2003-04-29,0,0,0,82913.35,Enxurradas,2003/2004,274.3,2003-12-16,9.44,10.27,7.63,74880000,,8073.354430379748,7393
1992-06-02,0,0,0,0.0,Inundações,1992/1993,323.0,1992-05-28,42.5,43.08,17.83,74880000,,,7393
