Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2015-10-21,0,0,2954,367807.0,Enxurradas,2015/2016,7423.3,2015-10-17,39.5,49.47,26.54,85900000,59.71295734788761,7434.950475035375,3019,Sim
2014-07-07,0,0,350,701460.0,Chuvas Intensas,2014/2015,4096.0,2014-07-05,2.14,2.38,2.5,85900000,147.05882352941177,294731.0924369748,3019,Sim
2010-12-16,0,0,0,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,3019,Sim
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,3019,Sim
2009-12-16,0,0,0,0.0,Enxurradas,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,,3019,Sim
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,3019,Sim
2015-10-21,0,0,2954,367807.0,Enxurradas,2015/2016,235.7,2015-10-08,12.0,17.52,4.97,85830000,168.60730593607306,20993.5502283105,3019,
2014-07-07,0,0,350,701460.0,Chuvas Intensas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,150.86206896551724,302353.4482758621,3019,
2010-12-16,0,0,0,0.0,Enxurradas,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,3019,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,3019,
2009-12-16,0,0,0,0.0,Enxurradas,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,,3019,
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,169.2,2001-10-01,2.53,2.06,2.08,85830000,,,3019,
