Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-17,0,0,6048,10277720.0,Chuvas Intensas,2023/2024,307.0,2023-11-13,18.0,19.78,8.94,79400000,305.7633973710819,519601.6177957532,6894
2019-11-08,0,0,6048,555760.59,Enxurradas,2019/2020,260.3,2019-11-01,6.0,5.91,4.81,79400000,1023.3502538071066,94037.32487309644,6894
2019-01-24,0,0,2828,746000.0,Enxurradas,2019/2020,260.3,2019-11-01,6.0,5.91,4.81,79400000,478.5109983079526,126226.73434856176,6894
2016-05-02,0,0,900,5209446.0,Chuvas Intensas,2016/2017,193.7,2016-04-25,1.8,1.98,2.19,79400000,454.54545454545456,2631033.333333333,6894
2015-10-22,0,0,2600,2144165.0,Chuvas Intensas,2015/2016,229.8,2015-10-16,3.27,3.29,3.29,79400000,790.273556231003,651721.8844984802,6894
2015-08-03,0,0,250,1915090.0,Alagamentos,2015/2016,229.8,2015-10-16,3.27,3.29,3.29,79400000,75.98784194528875,582094.2249240122,6894
2014-11-10,0,0,2480,2380000.0,Chuvas Intensas,2014/2015,206.5,2014-07-25,1.89,2.32,2.51,79400000,1068.9655172413793,1025862.0689655172,6894
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,219.8,2010-07-27,2.25,2.8,2.92,79400000,,,6894
2009-11-20,0,0,0,0.0,Enxurradas,2009/2010,339.0,2009-11-15,36.0,56.91,13.91,79400000,,,6894
2003-11-25,0,0,0,0.0,Enxurradas,2003/2004,257.5,2003-04-28,5.14,5.57,4.64,79400000,,,6894
