Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-27,0,0,4371,359145.83,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,745.9044368600682,61287.684300341294,4393,Sim
2023-07-17,0,0,0,40000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,,6825.938566552901,4393,Sim
2019-10-31,0,0,4371,549560.0,Enxurradas,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,1606.9852941176468,202044.1176470588,4393,Sim
2015-10-09,0,0,2800,65135.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,380.95238095238096,8861.904761904761,4393,Sim
2010-12-04,0,0,0,0.0,Inundações,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,4393,Sim
2010-01-04,0,0,0,3659000.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,444053.3980582524,4393,Sim
2009-12-04,0,0,0,0.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,4393,Sim
2003-12-16,0,0,0,0.0,Enxurradas,2003/2004,3011.0,2003-12-16,14.5,6.4,4.85,85400000,,,4393,Sim
2002-10-22,0,0,0,0.0,Inundações,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,,,4393,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,4393,Sim
