Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-22,0,0,4527,1036750.0,Enxurradas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,203.5521582733813,46616.45683453238,4690,
2023-10-07,0,0,300,112685.89,Enxurradas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,13.489208633093526,5066.811600719425,4690,
2019-05-10,0,0,0,20000.0,Chuvas Intensas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,,11173.1843575419,4690,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,4690,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,4690,
2023-11-22,0,0,4527,1036750.0,Enxurradas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,148.71879106438897,34058.80420499343,4690,Sim
2023-10-07,0,0,300,112685.89,Enxurradas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,9.85545335085414,3701.901773981603,4690,Sim
2019-05-10,0,0,0,20000.0,Chuvas Intensas,2019/2020,586.1,2019-05-12,1.23,1.23,1.26,72630000,,16260.162601626016,4690,Sim
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,4690,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,4690,Sim
2023-11-22,0,0,4527,1036750.0,Enxurradas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,1236.885245901639,283265.0273224044,4690,
2023-10-07,0,0,300,112685.89,Enxurradas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,81.96721311475409,30788.494535519123,4690,
2019-05-10,0,0,0,20000.0,Chuvas Intensas,2019/2020,250.8,2019-06-01,1.24,1.21,1.19,72430000,,16528.92561983471,4690,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1078.1,1993-07-05,68.0,95.25,169.86,72430000,,,4690,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,979.3,1992-05-29,34.0,55.17,85.93,72430000,,,4690,
