Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-20,0,0,1670,3304776.0,Enxurradas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,284.9829351535836,563954.9488054607,3988
2022-06-08,0,0,1670,961197.27,Enxurradas,2022/2023,2058.4,2022-06-23,1.45,1.63,1.81,85400000,1024.5398773006136,589691.5766871166,3988
2017-06-19,0,0,2000,503721.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,326.797385620915,82307.35294117648,3988
2017-06-07,0,0,0,0.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,,,3988
2016-07-19,0,0,250,18200.0,Enxurradas,2016/2017,2291.6,2016-10-20,1.78,2.05,2.23,85400000,121.95121951219514,8878.048780487805,3988
2015-10-22,0,0,4162,768495.0,Enxurradas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,566.2585034013606,104557.14285714286,3988
2014-07-10,0,0,1671,606200.0,Enxurradas,2014/2015,2708.9,2014-07-25,3.35,3.64,3.44,85400000,459.0659340659341,166538.46153846153,3988
2010-12-11,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,3988
2009-12-09,0,0,0,522000.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,197727.2727272727,3988
2002-10-31,0,0,0,180000.0,Inundações,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,,65454.545454545456,3988
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,85400000,,,3988
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,2841.0,1993-06-05,5.8,4.58,3.99,85400000,,,3988
