Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-06-09,0,0,20,100000.0,Alagamentos,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,3.2679738562091503,16339.86928104575,20474,Sim
2017-01-03,0,0,0,150000.0,Alagamentos,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,,24509.803921568626,20474,Sim
2015-12-28,0,0,50,0.0,Alagamentos,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,6.802721088435375,,20474,Sim
2011-03-25,0,0,0,0.0,Enxurradas,2011/2012,2751.2,2011-08-10,3.62,3.91,3.61,85400000,,,20474,Sim
2009-12-10,0,0,0,610200.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,231136.3636363636,20474,Sim
2009-09-08,0,0,0,12470.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,4723.484848484848,20474,Sim
2009-02-10,0,0,0,0.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,20474,Sim
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,85400000,,,20474,Sim
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,2841.0,1993-06-05,5.8,4.58,3.99,85400000,,,20474,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,2708.9,1992-05-30,3.48,3.64,3.44,85400000,,,20474,Sim
