Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-22,0,0,13128,15758736.5,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,394.82706766917295,473946.962406015,37754,Sim
2023-10-04,0,0,880,1053407.6,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,26.466165413533837,31681.43157894737,37754,Sim
2023-06-20,0,0,2508,3015800.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,75.42857142857143,90700.75187969924,37754,Sim
2022-06-14,0,0,550,0.0,Enxurradas,2022/2023,282.1,2022-05-22,1.43,1.5,1.66,87380000,366.6666666666667,,37754,Sim
2020-07-20,0,0,2007,2940164.65,Enxurradas,2020/2021,473.3,2020-07-10,10.88,10.57,6.1,87380000,189.8770104068117,278161.2724692526,37754,Sim
2017-03-20,0,0,250,150000.0,Enxurradas,2017/2018,419.7,2017-06-05,4.35,4.87,4.05,87380000,51.3347022587269,30800.821355236138,37754,Sim
2015-07-21,0,0,800,1942635.0,Enxurradas,2015/2016,504.8,2015-07-22,29.0,18.28,7.82,87380000,43.7636761487965,106271.0612691466,37754,Sim
2013-09-11,0,0,44,80000.0,Enxurradas,2013/2014,539.7,2013-08-28,87.0,36.45,10.37,87380000,1.2071330589849107,2194.787379972565,37754,Sim
2011-04-23,0,0,0,0.0,Enxurradas,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,,,37754,Sim
2010-01-10,0,14,13527,1138990.0,Enxurradas,2010/2011,340.5,2010-07-25,2.07,2.17,2.33,87380000,6233.640552995392,524880.1843317973,37754,Sim
2009-11-13,0,0,17855,161500.0,Enxurradas,2009/2010,471.3,2009-09-30,9.67,10.23,6.0,87380000,1745.3567937438904,15786.901270772238,37754,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,435.2,2001-07-23,5.44,5.97,4.55,87380000,,,37754,Sim
1994-03-01,0,0,0,0.0,Enxurradas,1994/1995,335.4,1994-05-17,1.98,2.09,2.26,87380000,,,37754,Sim
1992-03-13,0,0,0,0.0,Inundações,1992/1993,332.1,1992-07-09,1.93,2.03,2.21,87380000,,,37754,Sim
