Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-08,0,0,7000,1899500.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,124.28977272727272,33726.91761363636,84041,
2017-06-30,0,0,0,534513.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,,66897.74718397997,84041,
2017-05-31,0,0,0,0.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,,,84041,
2011-06-22,0,0,3665,1762300.0,Enxurradas,2011/2012,15718.3,2011-07-24,2.91,2.43,2.53,75550000,1508.230452674897,725226.3374485596,84041,
2011-04-04,0,0,0,0.0,Enxurradas,2011/2012,15718.3,2011-07-24,2.91,2.43,2.53,75550000,,,84041,
2007-01-11,0,0,0,0.0,Alagamentos,2007/2008,3016.8,2007-12-08,1.03,1.02,1.01,75550000,,,84041,
2001-01-11,0,0,0,0.0,Enxurradas,2001/2002,,,,,,75550000,,,84041,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,22574.1,1992-06-01,6.4,7.94,7.12,75550000,,,84041,
2023-11-08,0,0,7000,1899500.0,Chuvas Intensas,2023/2024,2480.0,2023-11-18,42.5,30.83,51.83,75230000,227.0515731430425,61612.06616931561,84041,Sim
2017-06-30,0,0,0,534513.0,Chuvas Intensas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,,24153.321283325804,84041,Sim
2017-05-31,0,0,0,0.0,Chuvas Intensas,2017/2018,2294.1,2017-06-10,21.25,22.13,33.26,75230000,,,84041,Sim
2011-06-22,0,0,3665,1762300.0,Enxurradas,2011/2012,1449.9,2011-03-29,5.67,4.69,4.78,75230000,781.4498933901918,375756.9296375266,84041,Sim
2011-04-04,0,0,0,0.0,Enxurradas,2011/2012,1449.9,2011-03-29,5.67,4.69,4.78,75230000,,,84041,Sim
2007-01-11,0,0,0,0.0,Alagamentos,2007/2008,1379.7,2007-09-25,5.0,4.12,4.12,75230000,,,84041,Sim
2001-01-11,0,0,0,0.0,Enxurradas,2001/2002,814.2,2001-01-12,1.52,1.59,1.51,75230000,,,84041,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6369.1,1992-05-29,85.0,9206.76,617300.93,75230000,,,84041,Sim
2023-11-08,0,0,7000,1899500.0,Chuvas Intensas,2023/2024,417.1,2023-09-05,41.5,29.56,19.93,75200000,236.8064952638701,64259.13396481732,84041,
2017-06-30,0,0,0,534513.0,Chuvas Intensas,2017/2018,349.0,2017-06-09,11.86,10.18,8.81,75200000,,52506.18860510806,84041,
2017-05-31,0,0,0,0.0,Chuvas Intensas,2017/2018,349.0,2017-06-09,11.86,10.18,8.81,75200000,,,84041,
2011-06-22,0,0,3665,1762300.0,Enxurradas,2011/2012,282.0,2011-08-09,4.37,4.11,4.12,75200000,891.7274939172748,428783.4549878345,84041,
2011-04-04,0,0,0,0.0,Enxurradas,2011/2012,282.0,2011-08-09,4.37,4.11,4.12,75200000,,,84041,
2007-01-11,0,0,0,0.0,Alagamentos,2007/2008,192.9,2007-09-24,1.69,1.68,1.75,75200000,,,84041,
2001-01-11,0,0,0,0.0,Enxurradas,2001/2002,172.9,2001-10-01,1.54,1.46,1.51,75200000,,,84041,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,583.4,1992-05-27,83.0,572.57,155.57,75200000,,,84041,
