Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-12-18,0,0,267,1820000.0,Enxurradas,2023/2024,,,,,,86895000,,,3103,Sim
2023-11-17,0,0,848,20680000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,3103,Sim
2023-09-05,1,0,753,140000.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,3103,Sim
2023-06-17,0,0,12,0.0,Movimento de Massa,2023/2024,,,,,,86895000,,,3103,Sim
2023-06-16,0,0,752,1125233.4,Enxurradas,2023/2024,,,,,,86895000,,,3103,Sim
2020-07-10,0,0,3150,786062.06,Enxurradas,2020/2021,,,,,,86895000,,,3103,Sim
2017-06-22,0,0,331,1500.0,Movimento de Massa,2017/2018,,,,,,86895000,,,3103,Sim
2016-10-18,0,0,0,430000.0,Enxurradas,2016/2017,,,,,,86895000,,,3103,Sim
2013-12-16,0,0,12,431716.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,2.142857142857143,77092.14285714286,3103,Sim
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,3103,Sim
