Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-01,0,0,6618,535000.0,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,195.6830277942046,15819.041986989949,6054
2014-10-15,0,0,7,154000.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,0.5813953488372093,12790.697674418603,6054
2014-08-06,0,0,2497,34738.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,207.39202657807311,2885.215946843854,6054
1992-11-16,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,6054
2023-11-01,0,0,6618,535000.0,Chuvas Intensas,2023/2024,431.8,2023-11-21,17.0,11.12,7.27,74700000,595.1438848920864,48111.51079136691,6054
2014-10-15,0,0,7,154000.0,Enxurradas,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,0.0284807551468793,626.576613231345,6054
2014-08-06,0,0,2497,34738.0,Enxurradas,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,10.159492228822524,141.33778175604198,6054
1992-11-16,0,0,0,0.0,Inundações,1992/1993,437.4,1992-05-29,21.25,12.17,7.63,74700000,,,6054
2023-11-01,0,0,6618,535000.0,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,624.3396226415094,50471.698113207545,6054
2014-10-15,0,0,7,154000.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,0.0893655049151027,1966.041108132261,6054
2014-08-06,0,0,2497,34738.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,31.877952253287376,443.4827013915486,6054
1992-11-16,0,0,0,0.0,Inundações,1992/1993,,,,,,74610000,,,6054
