Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2017-06-01,0,0,1000,749660.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,324.67532467532465,243396.1038961039,2207,
2010-12-04,0,0,0,0.0,Enxurradas,2010/2011,27810.9,2010-04-28,6.14,5.78,6.14,74800000,,,2207,
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,12279.3,2009-11-24,1.43,1.36,1.3,74800000,,,2207,
1995-04-10,0,0,0,0.0,Enxurradas,1995/1996,14225.9,1995-10-07,1.65,1.59,1.48,74800000,,,2207,
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,18737.5,1994-07-07,2.05,2.4,2.2,74800000,,,2207,
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,18737.5,1994-07-07,2.05,2.4,2.2,74800000,,,2207,
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,26346.6,1993-07-07,5.38,5.02,5.13,74800000,,,2207,
2017-06-01,0,0,1000,749660.0,Chuvas Intensas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,149.03129657228018,111722.80178837555,2207,Sim
2010-12-04,0,0,0,0.0,Enxurradas,2010/2011,856.2,2010-12-13,2.9,2.86,2.82,74610000,,,2207,Sim
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,1053.8,2009-11-23,3.62,5.09,5.22,74610000,,,2207,Sim
1995-04-10,0,0,0,0.0,Enxurradas,1995/1996,,,,,,74610000,,,2207,Sim
1994-05-03,0,0,0,0.0,Enxurradas,1994/1995,,,,,,74610000,,,2207,Sim
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,,,,,,74610000,,,2207,Sim
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74610000,,,2207,Sim
