Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-09,0,0,8078,1409038.86,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,363.2194244604317,63356.06384892087,7046
2019-05-23,0,0,2000,0.0,Enxurradas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,1117.31843575419,,7046
2017-06-06,0,0,5022,667755.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,1026.993865030675,136555.2147239264,7046
2017-06-03,0,0,0,650000.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,,132924.33537832313,7046
2015-07-22,0,0,8078,1657145.0,Alagamentos,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,1960.6796116504852,402219.66019417474,7046
2015-01-13,0,0,8078,0.0,Chuvas Intensas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,1960.6796116504852,,7046
2014-06-30,0,0,8078,4931360.0,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,737.716894977169,450352.5114155252,7046
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,7046
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,,7046
1995-11-10,0,0,0,0.0,Enxurradas,1995/1996,8624.8,1995-09-28,1.38,1.39,1.33,74100000,,,7046
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,7046
2023-10-09,0,0,8078,1409038.86,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,2766.4383561643835,482547.5547945206,7046
2019-05-23,0,0,2000,0.0,Enxurradas,2019/2020,10404.0,2019-05-13,1.89,2.48,1.55,74500000,806.4516129032259,,7046
2017-06-06,0,0,5022,667755.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1806.474820143885,240199.6402877698,7046
2017-06-03,0,0,0,650000.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,,233812.94964028776,7046
2015-07-22,0,0,8078,1657145.0,Alagamentos,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,2824.4755244755247,579421.3286713287,7046
2015-01-13,0,0,8078,0.0,Chuvas Intensas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,2824.4755244755247,,7046
2014-06-30,0,0,8078,4931360.0,Chuvas Intensas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,2614.239482200647,1595909.3851132686,7046
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,7046
2009-11-22,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,7046
1995-11-10,0,0,0,0.0,Enxurradas,1995/1996,,,,,,74500000,,,7046
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,7046
