Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2015-10-08,0,0,4132,826421.0,Alagamentos,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,24.81979817395483,4964.085776069198,5573
2014-07-17,0,0,0,0.0,Movimento de Massa,2014/2015,2831.0,2014-07-27,2.5,2.63,2.69,85642000,,,5573
2014-07-08,0,0,2464,831700.0,Enxurradas,2014/2015,2831.0,2014-07-27,2.5,2.63,2.69,85642000,936.8821292775666,316235.74144486693,5573
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,5573
2009-12-02,0,0,0,104000.0,Enxurradas,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,24129.93039443156,5573
2004-03-04,0,0,0,0.0,Inundações,2004/2005,986.2,2004-11-14,1.05,1.01,1.0,85642000,,,5573
2003-12-16,0,0,0,0.0,Inundações,2003/2004,2807.8,2003-12-18,2.37,2.54,2.62,85642000,,,5573
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,5573
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3049.2,1997-10-18,5.0,3.74,3.4,85642000,,,5573
2015-10-08,0,0,4132,826421.0,Alagamentos,2015/2016,338.3,2015-10-10,20.0,79.7,62.15,85438000,51.8444165621079,10369.14680050188,5573
2014-07-17,0,0,0,0.0,Movimento de Massa,2014/2015,241.6,2014-06-30,13.33,11.64,11.02,85438000,,,5573
2014-07-08,0,0,2464,831700.0,Enxurradas,2014/2015,241.6,2014-06-30,13.33,11.64,11.02,85438000,211.68384879725085,71451.89003436426,5573
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,396.2,2010-01-20,40.0,263.27,178.32,85438000,,,5573
2009-12-02,0,0,0,104000.0,Enxurradas,2009/2010,216.4,2009-11-24,8.0,7.3,7.14,85438000,,14246.575342465754,5573
2004-03-04,0,0,0,0.0,Inundações,2004/2005,28.1,2004-09-24,1.03,1.01,1.01,85438000,,,5573
2003-12-16,0,0,0,0.0,Inundações,2003/2004,217.4,2003-12-16,10.0,7.43,7.26,85438000,,,5573
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,150.9,2001-07-21,2.86,2.51,2.54,85438000,,,5573
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,187.1,1997-10-16,5.71,4.39,4.4,85438000,,,5573
2015-10-08,0,0,4132,826421.0,Alagamentos,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,147.9942693409742,29599.60601719197,5573
2014-07-17,0,0,0,0.0,Movimento de Massa,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,,,5573
2014-07-08,0,0,2464,831700.0,Enxurradas,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,373.33333333333337,126015.15151515152,5573
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,5573
2009-12-02,0,0,0,104000.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,25120.772946859903,5573
2004-03-04,0,0,0,0.0,Inundações,2004/2005,14148.3,2004-01-01,1.57,1.42,1.5,77150000,,,5573
2003-12-16,0,0,0,0.0,Inundações,2003/2004,19245.0,2003-12-27,2.32,2.65,2.79,77150000,,,5573
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,15921.1,2001-10-14,2.0,1.7,1.81,77150000,,,5573
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,28038.3,1997-10-22,14.67,17.45,11.36,77150000,,,5573
2015-10-08,0,0,4132,826421.0,Alagamentos,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,194.2642219087917,38853.83168782323,5573
2014-07-17,0,0,0,0.0,Movimento de Massa,2014/2015,2638.8,2014-07-28,1.69,1.78,1.81,76500000,,,5573
2014-07-08,0,0,2464,831700.0,Enxurradas,2014/2015,2638.8,2014-07-28,1.69,1.78,1.81,76500000,1384.2696629213483,467247.19101123593,5573
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,5573
2009-12-02,0,0,0,104000.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,3254.0675844806005,5573
2004-03-04,0,0,0,0.0,Inundações,2004/2005,1160.3,2004-11-13,1.03,1.04,1.04,76500000,,,5573
2003-12-16,0,0,0,0.0,Inundações,2003/2004,3609.1,2003-12-20,3.81,3.58,3.62,76500000,,,5573
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,3440.4,2001-06-08,2.9,3.12,3.17,76500000,,,5573
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3455.6,1997-12-31,3.05,3.16,3.21,76500000,,,5573
