Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-23,0,0,592,600000.0,Enxurradas,2017/2018,29193.2,2017-06-04,30.0,48.45,18.48,75780000,12.218782249742002,12383.90092879257,3456
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,16686.3,2010-04-30,2.73,2.47,2.63,75780000,,,3456
2010-01-07,0,0,0,0.0,Enxurradas,2010/2011,16686.3,2010-04-30,2.73,2.47,2.63,75780000,,,3456
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,15554.4,2009-11-27,2.0,2.11,2.27,75780000,,,3456
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75780000,,,3456
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,17131.8,1994-07-09,3.0,2.65,2.8,75780000,,,3456
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,16365.4,1993-07-09,2.31,2.36,2.52,75780000,,,3456
2017-06-23,0,0,592,600000.0,Enxurradas,2017/2018,1759.3,2017-04-27,5.67,6.14,4.83,75700000,96.4169381107492,97719.8697068404,3456
2010-11-27,0,0,0,0.0,Enxurradas,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,,,3456
2010-01-07,0,0,0,0.0,Enxurradas,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,,,3456
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,1935.8,2009-11-23,22.67,11.92,6.9,75700000,,,3456
1997-10-13,0,0,0,0.0,Enxurradas,1997/1998,2188.3,1997-10-16,34.0,38.63,11.74,75700000,,,3456
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,1095.0,1994-07-07,1.39,1.43,1.56,75700000,,,3456
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,1700.4,1993-11-17,3.78,5.06,4.3,75700000,,,3456
