Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-17,0,0,257,785000.0,Inundações,2023/2024,18263.5,2023-11-24,5.2,5.52,5.86,75900000,46.55797101449276,142210.14492753625,37363
2019-01-19,0,0,15,0.0,Inundações,2019/2020,9556.0,2019-05-15,1.53,1.44,1.33,75900000,10.416666666666668,,37363
2017-05-30,0,0,2590,7418117.0,Inundações,2017/2018,23403.7,2017-06-12,8.67,10.83,18.02,75900000,239.1505078485688,684960.0184672207,37363
2015-12-28,0,0,1429,930151.0,Inundações,2015/2016,21735.4,2015-07-20,6.5,8.78,12.42,75900000,162.75626423690207,105939.74943052392,37363
2015-10-19,0,0,450,225150.0,Inundações,2015/2016,21735.4,2015-07-20,6.5,8.78,12.42,75900000,51.25284738041002,25643.50797266515,37363
2015-07-21,0,0,734,753149.0,Inundações,2015/2016,21735.4,2015-07-20,6.5,8.78,12.42,75900000,83.5990888382688,85780.06833712985,37363
2015-01-20,0,0,760,600148.0,Inundações,2015/2016,21735.4,2015-07-20,6.5,8.78,12.42,75900000,86.56036446469248,68353.98633257403,37363
2014-10-06,0,0,413,300000.0,Inundações,2014/2015,23928.1,2014-07-05,13.0,11.55,20.28,75900000,35.75757575757576,25974.02597402597,37363
2014-07-07,0,0,10799,20020000.0,Inundações,2014/2015,23928.1,2014-07-05,13.0,11.55,20.28,75900000,934.9783549783548,1733333.3333333333,37363
2010-05-26,0,0,0,0.0,Enxurradas,2010/2011,9966.4,2010-05-02,1.73,1.54,1.39,75900000,,,37363
2008-11-06,0,4,3275,630000.0,Inundações,2008/2009,14866.8,2008-11-04,2.36,3.35,2.97,75900000,977.6119402985074,188059.7014925373,37363
2002-10-18,0,0,1992,1505000.0,Inundações,2002/2003,,,,,,75900000,,,37363
1997-10-18,0,0,0,0.0,Enxurradas,1997/1998,,,,,,75900000,,,37363
1993-08-19,0,0,0,0.0,Enxurradas,1993/1994,,,,,,75900000,,,37363
