Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-16,0,0,4111,1372600.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1407.876712328767,470068.4931506849,3738
2017-06-09,1,0,2625,761558.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,944.2446043165468,273941.726618705,3738
2014-07-09,0,0,3000,1448000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,970.873786407767,468608.4142394822,3738
2014-04-22,0,0,2500,1273000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,809.0614886731393,411974.11003236246,3738
2010-12-12,0,0,0,549000.0,Enxurradas,2010/2011,,,,,,74500000,,,3738
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,3738
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,3738
1992-06-02,0,0,0,0.0,Inundações,1992/1993,,,,,,74500000,,,3738
2023-10-16,0,0,4111,1372600.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1522.5925925925924,508370.3703703704,3738
2017-06-09,1,0,2625,761558.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,495.28301886792457,143690.1886792453,3738
2014-07-09,0,0,3000,1448000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,123.30456226880396,59515.002055076046,3738
2014-04-22,0,0,2500,1273000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,102.75380189066996,52322.235922729145,3738
2010-12-12,0,0,0,549000.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,141860.46511627905,3738
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,3738
1997-10-11,0,0,0,0.0,Enxurradas,1997/1998,3760.2,1997-10-30,12.14,11.43,12.69,74270000,,,3738
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6038.2,1992-05-29,85.0,105.3,160.11,74270000,,,3738
