Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-08,0,0,15,35000.0,Chuvas Intensas,2023/2024,1011.5,2023-10-17,2.93,2.91,2.99,76440000,5.154639175257731,12027.491408934708,10684,
2019-01-25,0,0,30,26000.0,Inundações,2019/2020,1196.5,2019-01-10,7.08,5.23,4.84,76440000,5.736137667304015,4971.319311663479,10684,
2016-10-19,0,0,3145,935300.0,Enxurradas,2016/2017,1112.5,2016-11-02,4.05,3.94,3.87,76440000,798.2233502538071,237385.7868020305,10684,
2015-12-24,0,0,350,980156.0,Inundações,2015/2016,1340.8,2015-10-09,12.14,8.98,7.24,76440000,38.97550111358574,109148.77505567927,10684,
2015-10-14,0,0,750,613655.0,Inundações,2015/2016,1340.8,2015-10-09,12.14,8.98,7.24,76440000,83.51893095768374,68335.74610244989,10684,
2014-08-08,0,0,4315,2204862.0,Enxurradas,2014/2015,947.7,2014-07-24,2.43,2.45,2.56,76440000,1761.2244897959183,899943.6734693877,10684,
2010-11-27,0,0,0,0.0,Inundações,2010/2011,1453.9,2010-01-20,21.25,14.34,10.03,76440000,,,10684,
2010-02-10,0,0,0,0.0,Inundações,2010/2011,1453.9,2010-01-20,21.25,14.34,10.03,76440000,,,10684,
2009-11-27,0,0,0,0.0,Inundações,2009/2010,869.1,2009-11-22,1.93,2.02,2.14,76440000,,,10684,
2002-10-08,0,0,153,0.0,Inundações,2002/2003,1272.4,2002-10-09,9.44,6.89,5.97,76440000,22.20609579100145,,10684,
2023-09-08,0,0,15,35000.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,1.3966480446927374,3258.8454376163872,10684,Sim
2019-01-25,0,0,30,26000.0,Inundações,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,18.072289156626507,15662.65060240964,10684,Sim
2016-10-19,0,0,3145,935300.0,Enxurradas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,745.260663507109,221635.0710900474,10684,Sim
2015-12-24,0,0,350,980156.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,12.535816618911172,35105.87392550143,10684,Sim
2015-10-14,0,0,750,613655.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,26.86246418338109,21979.047277936963,10684,Sim
2014-08-08,0,0,4315,2204862.0,Enxurradas,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,653.7878787878789,334070.0,10684,Sim
2010-11-27,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,10684,Sim
2010-02-10,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,10684,Sim
2009-11-27,0,0,0,0.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,,10684,Sim
2002-10-08,0,0,153,0.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,38.63636363636364,,10684,Sim
2023-09-08,0,0,15,35000.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,6.578947368421053,15350.877192982458,10684,
2019-01-25,0,0,30,26000.0,Inundações,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,2.9211295034079847,2531.6455696202534,10684,
2016-10-19,0,0,3145,935300.0,Enxurradas,2016/2017,3852.2,2016-01-01,4.69,4.39,4.42,76500000,716.4009111617313,213052.3917995444,10684,
2015-12-24,0,0,350,980156.0,Inundações,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,16.455101081335215,46081.61730136343,10684,
2015-10-14,0,0,750,613655.0,Inundações,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,35.26093088857546,28850.72872590503,10684,
2014-08-08,0,0,4315,2204862.0,Enxurradas,2014/2015,2638.8,2014-07-28,1.69,1.78,1.81,76500000,2424.1573033707864,1238686.5168539323,10684,
2010-11-27,0,0,0,0.0,Inundações,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,10684,
2010-02-10,0,0,0,0.0,Inundações,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,10684,
2009-11-27,0,0,0,0.0,Inundações,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,,10684,
2002-10-08,0,0,153,0.0,Inundações,2002/2003,5475.8,2002-10-14,12.2,21.07,18.54,76500000,7.261509254864737,,10684,
