Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2019-03-18,0,0,0,0.0,Enxurradas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,,,3472,Sim
2019-01-24,0,0,35,0.0,Alagamentos,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,21.08433734939759,,3472,Sim
2017-06-08,0,0,3575,310604.0,Chuvas Intensas,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,244.8630136986301,21274.246575342466,3472,Sim
2015-10-14,0,0,3575,35159.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,128.04441260744986,1259.2765042979945,3472,Sim
2014-09-11,0,1,257,456582.0,Chuvas Intensas,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,38.939393939393945,69179.09090909091,3472,Sim
2010-11-26,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,3472,Sim
2010-01-11,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,3472,Sim
2009-11-22,0,0,0,0.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,,3472,Sim
2019-03-18,0,0,0,0.0,Enxurradas,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,,,3472,
2019-01-24,0,0,35,0.0,Alagamentos,2019/2020,4764.8,2019-01-20,7.62,10.27,9.73,76500000,3.4079844206426486,,3472,
2017-06-08,0,0,3575,310604.0,Chuvas Intensas,2017/2018,2946.5,2017-06-02,2.03,2.16,2.21,76500000,1655.0925925925924,143798.14814814815,3472,
2015-10-14,0,0,3575,35159.0,Chuvas Intensas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,168.0771039022097,1652.9854254818997,3472,
2014-09-11,0,1,257,456582.0,Chuvas Intensas,2014/2015,2638.8,2014-07-28,1.69,1.78,1.81,76500000,144.38202247191012,256506.7415730337,3472,
2010-11-26,0,0,0,0.0,Inundações,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,3472,
2010-01-11,0,0,0,0.0,Inundações,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,3472,
2009-11-22,0,0,0,0.0,Inundações,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,,3472,
2019-03-18,0,0,0,0.0,Enxurradas,2019/2020,1196.5,2019-01-10,7.08,5.23,4.84,76440000,,,3472,
2019-01-24,0,0,35,0.0,Alagamentos,2019/2020,1196.5,2019-01-10,7.08,5.23,4.84,76440000,6.692160611854684,,3472,
2017-06-08,0,0,3575,310604.0,Chuvas Intensas,2017/2018,921.8,2017-05-28,2.3,2.29,2.41,76440000,1561.135371179039,135634.9344978166,3472,
2015-10-14,0,0,3575,35159.0,Chuvas Intensas,2015/2016,1340.8,2015-10-09,12.14,8.98,7.24,76440000,398.1069042316258,3915.256124721604,3472,
2014-09-11,0,1,257,456582.0,Chuvas Intensas,2014/2015,947.7,2014-07-24,2.43,2.45,2.56,76440000,104.89795918367346,186360.0,3472,
2010-11-26,0,0,0,0.0,Inundações,2010/2011,1453.9,2010-01-20,21.25,14.34,10.03,76440000,,,3472,
2010-01-11,0,0,0,0.0,Inundações,2010/2011,1453.9,2010-01-20,21.25,14.34,10.03,76440000,,,3472,
2009-11-22,0,0,0,0.0,Inundações,2009/2010,869.1,2009-11-22,1.93,2.02,2.14,76440000,,,3472,
2019-03-18,0,0,0,0.0,Enxurradas,2019/2020,1343.2,2019-01-10,5.67,4.05,3.74,76100000,,,3472,
2019-01-24,0,0,35,0.0,Alagamentos,2019/2020,1343.2,2019-01-10,5.67,4.05,3.74,76100000,8.641975308641976,,3472,
2017-06-08,0,0,3575,310604.0,Chuvas Intensas,2017/2018,1121.6,2017-05-27,2.12,2.19,2.38,76100000,1632.420091324201,141828.3105022831,3472,
2015-10-14,0,0,3575,35159.0,Chuvas Intensas,2015/2016,1641.6,2015-12-24,17.0,13.72,7.34,76100000,260.5685131195335,2562.609329446064,3472,
2014-09-11,0,1,257,456582.0,Chuvas Intensas,2014/2015,1347.3,2014-07-24,6.07,4.1,3.77,76100000,62.6829268292683,111361.46341463416,3472,
2010-11-26,0,0,0,0.0,Inundações,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,,3472,
2010-01-11,0,0,0,0.0,Inundações,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,,3472,
2009-11-22,0,0,0,0.0,Inundações,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,,,3472,
