Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-23,0,0,8329,1249128.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,147.88707386363637,22179.11931818182,8571
2017-05-31,0,0,0,31632.0,Chuvas Intensas,2017/2018,22607.4,2017-06-03,8.0,7.99,7.16,75550000,,3958.9486858573214,8571
2015-12-29,0,0,0,1580160.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,,346526.3157894737,8571
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,8571
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,8571
2009-12-10,0,0,0,72000.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,40223.463687150834,8571
2023-11-23,0,0,8329,1249128.0,Chuvas Intensas,2023/2024,682.5,2023-11-18,2.74,2.8,3.0,75295000,2974.6428571428573,446117.1428571429,8571
2017-05-31,0,0,0,31632.0,Chuvas Intensas,2017/2018,810.1,2017-05-28,4.33,6.59,5.42,75295000,,4800.0,8571
2015-12-29,0,0,0,1580160.0,Enxurradas,2015/2016,956.8,2015-12-27,52.0,27.23,11.31,75295000,,58030.11384502387,8571
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,585.8,2010-01-21,1.79,1.81,2.02,75295000,,,8571
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,585.8,2010-01-21,1.79,1.81,2.02,75295000,,,8571
2009-12-10,0,0,0,72000.0,Enxurradas,2009/2010,587.7,2009-11-23,1.86,1.82,2.04,75295000,,39560.43956043956,8571
