Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,19579,160000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,3341.126279863481,27303.754266211603,19159,Sim
2023-11-09,0,0,0,0.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,,,19159,Sim
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,19159,Sim
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,19159,Sim
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,19159,Sim
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,19159,Sim
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3560.4,1997-10-16,43.5,25.51,9.43,85400000,,,19159,Sim
2023-11-21,0,0,19579,160000.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,1822.998137802607,14897.5791433892,19159,
2023-11-09,0,0,0,0.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,,,19159,
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,19159,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,19159,
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,,19159,
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,15921.1,2001-10-14,2.0,1.7,1.81,77150000,,,19159,
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,28038.3,1997-10-22,14.67,17.45,11.36,77150000,,,19159,
2023-11-21,0,0,19579,160000.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,8587.280701754387,70175.43859649124,19159,
2023-11-09,0,0,0,0.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,,,19159,
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,19159,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,19159,
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,,19159,
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,3440.4,2001-06-08,2.9,3.12,3.17,76500000,,,19159,
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,3455.6,1997-12-31,3.05,3.16,3.21,76500000,,,19159,
2023-11-21,0,0,19579,160000.0,Chuvas Intensas,2023/2024,,,,,,76085000,,,19159,
2023-11-09,0,0,0,0.0,Chuvas Intensas,2023/2024,,,,,,76085000,,,19159,
2010-11-30,0,0,0,0.0,Enxurradas,2010/2011,1048.4,2010-01-20,6.0,7.44,6.49,76085000,,,19159,
2010-01-04,0,0,0,0.0,Enxurradas,2010/2011,1048.4,2010-01-20,6.0,7.44,6.49,76085000,,,19159,
2009-11-30,0,0,0,0.0,Enxurradas,2009/2010,622.2,2009-11-22,1.78,1.86,1.93,76085000,,,19159,
2001-05-02,0,0,0,0.0,Enxurradas,2001/2002,737.9,2001-10-01,2.53,2.51,2.59,76085000,,,19159,
1997-10-09,0,0,0,0.0,Enxurradas,1997/1998,1360.1,1997-10-15,24.0,30.12,18.01,76085000,,,19159,
