Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-16,0,0,10,47000.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,5.9171597633136095,27810.650887573964,86005,
2023-10-17,0,0,30,0.0,Inundações,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,17.75147928994083,,86005,
2023-10-12,0,0,100,0.0,Inundações,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,59.171597633136095,,86005,
2023-10-07,0,0,0,0.0,Inundações,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,,,86005,
2023-09-04,0,2,4262,124500000.0,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,2521.8934911242604,73668639.05325444,86005,
2023-08-11,0,0,0,0.0,Enxurradas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,,,86005,
2023-07-24,0,0,0,0.0,Movimento de Massa,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,,,86005,
2023-07-12,1,0,186,0.0,Inundações,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,110.05917159763314,,86005,
2022-05-03,0,0,248,0.0,Alagamentos,2022/2023,451.4,2022-05-03,2.19,2.04,2.03,86745000,121.5686274509804,,86005,
2020-07-16,0,0,41820,10110000.0,Inundações,2020/2021,680.0,2020-07-08,5.67,5.28,5.49,86745000,7920.454545454545,1914772.7272727275,86005,
2017-06-08,0,0,254,5000.0,Inundações,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,73.19884726224784,1440.922190201729,86005,
2015-10-22,0,0,42,0.0,Inundações,2015/2016,389.5,2015-10-09,1.62,1.66,1.64,86745000,25.30120481927711,,86005,
2015-09-14,0,0,13,0.0,Inundações,2015/2016,389.5,2015-10-09,1.62,1.66,1.64,86745000,7.83132530120482,,86005,
2014-11-02,0,0,12,0.0,Inundações,2014/2015,363.5,2014-10-18,1.48,1.53,1.51,86745000,7.84313725490196,,86005,
2013-11-12,0,0,968,6000.0,Inundações,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,632.6797385620915,3921.56862745098,86005,
2011-07-21,0,0,1088,0.0,Inundações,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,591.3043478260869,,86005,
2011-04-13,0,0,0,37800.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,20543.478260869564,86005,
