Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-12,0,0,1400,529400.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,503.5971223021583,190431.654676259,2569
2014-07-07,0,0,2492,957000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,806.4724919093851,309708.7378640777,2569
2014-04-22,0,0,2487,385000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,804.8543689320388,124595.46925566344,2569
2011-03-01,0,0,2056,970000.0,Enxurradas,2011/2012,,,,,,74500000,,,2569
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,,,,,,74500000,,,2569
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,2569
2017-06-12,0,0,1400,529400.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,264.1509433962264,99886.7924528302,2569
2014-07-07,0,0,2492,957000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,102.42498972461982,39334.15536374846,2569
2014-04-22,0,0,2487,385000.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,102.21948212083848,15824.085491163174,2569
2011-03-01,0,0,2056,970000.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,252.57985257985257,119164.61916461916,2569
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,1642.8,2003-12-17,1.63,1.73,1.69,74270000,,,2569
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,2871.6,1993-07-05,5.31,4.87,4.98,74270000,,,2569
