Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-07,0,2,5780,1980000.0,Chuvas Intensas,2023/2024,358.0,2023-09-04,16.5,31.9,12.27,74205000,181.1912225705329,62068.96551724138,5087,Sim
2017-06-08,1,3,3504,337968.0,Enxurradas,2017/2018,388.6,2017-05-24,66.0,80.39,18.07,74205000,43.587510884438366,4204.104988182609,5087,Sim
2015-12-17,0,0,5030,2164575.0,Enxurradas,2015/2016,257.7,2015-12-15,3.88,3.67,3.68,74205000,1370.5722070844688,589802.4523160763,5087,Sim
2015-01-07,0,0,0,0.0,Enxurradas,2015/2016,257.7,2015-12-15,3.88,3.67,3.68,74205000,,,5087,Sim
2014-07-15,0,0,3000,813130.0,Enxurradas,2014/2015,317.9,2014-06-27,11.0,11.5,7.46,74205000,260.8695652173913,70706.95652173914,5087,Sim
2010-12-12,0,0,0,216000.0,Enxurradas,2010/2011,226.6,2010-06-18,2.44,2.41,2.64,74205000,,89626.5560165975,5087,Sim
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,376.7,1993-07-04,33.0,55.27,15.53,74205000,,,5087,Sim
1992-07-15,0,0,0,0.0,Inundações,1992/1993,329.1,1992-05-28,13.2,14.97,8.56,74205000,,,5087,Sim
2023-10-07,0,2,5780,1980000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1979.4520547945208,678082.1917808219,5087,
2017-06-08,1,3,3504,337968.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1260.431654676259,121571.22302158274,5087,
2015-12-17,0,0,5030,2164575.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,1758.741258741259,756844.4055944056,5087,
2015-01-07,0,0,0,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,,,5087,
2014-07-15,0,0,3000,813130.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,970.873786407767,263148.86731391586,5087,
2010-12-12,0,0,0,216000.0,Enxurradas,2010/2011,,,,,,74500000,,,5087,
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74500000,,,5087,
1992-07-15,0,0,0,0.0,Inundações,1992/1993,,,,,,74500000,,,5087,
2023-10-07,0,2,5780,1980000.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,2140.7407407407404,733333.3333333333,5087,
2017-06-08,1,3,3504,337968.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,661.1320754716982,63767.547169811325,5087,
2015-12-17,0,0,5030,2164575.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,228.7403365165985,98434.51568894953,5087,
2015-01-07,0,0,0,0.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,,,5087,
2014-07-15,0,0,3000,813130.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,123.30456226880396,33420.87957254419,5087,
2010-12-12,0,0,0,216000.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,55813.95348837209,5087,
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,2871.6,1993-07-05,5.31,4.87,4.98,74270000,,,5087,
1992-07-15,0,0,0,0.0,Inundações,1992/1993,6038.2,1992-05-29,85.0,105.3,160.11,74270000,,,5087,
