Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-23,0,0,48,1451121.0,Inundações,2023/2024,3205.4,2023-11-22,2.57,2.67,2.59,76560000,17.97752808988764,543491.011235955,7315,
2019-01-10,0,0,1114,1820040.0,Enxurradas,2019/2020,5169.2,2019-01-20,9.83,10.9,12.25,76560000,102.20183486238533,166976.14678899082,7315,
2017-06-09,0,0,0,0.0,Enxurradas,2017/2018,2976.5,2017-06-03,2.19,2.3,2.22,76560000,,,7315,
2017-06-06,0,0,0,0.0,Inundações,2017/2018,2976.5,2017-06-03,2.19,2.3,2.22,76560000,,,7315,
2015-12-30,0,0,280,7801368.0,Inundações,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,15.086206896551726,420332.3275862069,7315,
2015-12-24,0,0,0,9859623.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,,531229.6875,7315,
2015-10-14,0,0,294,9859622.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,15.840517241379311,531229.6336206897,7315,
2015-01-09,0,0,2000,0.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,107.75862068965516,,7315,
2013-11-13,0,0,0,0.0,Enxurradas,2013/2014,3511.0,2013-11-16,2.95,3.28,3.22,76560000,,,7315,
2002-10-07,0,0,289,406000.0,Inundações,2002/2003,6393.5,2002-10-14,19.67,26.97,35.33,76560000,10.715609936967,15053.763440860215,7315,
2023-10-23,0,0,48,1451121.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,4.46927374301676,135113.687150838,7315,Sim
2019-01-10,0,0,1114,1820040.0,Enxurradas,2019/2020,15693.4,2019-01-20,1.91,1.66,1.77,77150000,671.0843373493976,1096409.6385542168,7315,Sim
2017-06-09,0,0,0,0.0,Enxurradas,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,,,7315,Sim
2017-06-06,0,0,0,0.0,Inundações,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,,,7315,Sim
2015-12-30,0,0,280,7801368.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,10.028653295128938,279418.62464183377,7315,Sim
2015-12-24,0,0,0,9859623.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,,353138.35959885386,7315,Sim
2015-10-14,0,0,294,9859622.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,10.530085959885389,353138.3237822349,7315,Sim
2015-01-09,0,0,2000,0.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,71.63323782234957,,7315,Sim
2013-11-13,0,0,0,0.0,Enxurradas,2013/2014,12043.1,2013-01-12,1.33,1.22,1.25,77150000,,,7315,Sim
2002-10-07,0,0,289,406000.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,72.97979797979798,102525.25252525252,7315,Sim
2023-10-23,0,0,48,1451121.0,Inundações,2023/2024,3205.4,2023-11-22,2.57,2.67,2.59,76560000,17.97752808988764,543491.011235955,7315,
2019-01-10,0,0,1114,1820040.0,Enxurradas,2019/2020,5169.2,2019-01-20,9.83,10.9,12.25,76560000,102.20183486238533,166976.14678899082,7315,
2017-06-09,0,0,0,0.0,Enxurradas,2017/2018,2976.5,2017-06-03,2.19,2.3,2.22,76560000,,,7315,
2017-06-06,0,0,0,0.0,Inundações,2017/2018,2976.5,2017-06-03,2.19,2.3,2.22,76560000,,,7315,
2015-12-30,0,0,280,7801368.0,Inundações,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,15.086206896551726,420332.3275862069,7315,
2015-12-24,0,0,0,9859623.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,,531229.6875,7315,
2015-10-14,0,0,294,9859622.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,15.840517241379311,531229.6336206897,7315,
2015-01-09,0,0,2000,0.0,Enxurradas,2015/2016,5886.4,2015-12-30,11.8,18.56,22.7,76560000,107.75862068965516,,7315,
2013-11-13,0,0,0,0.0,Enxurradas,2013/2014,3511.0,2013-11-16,2.95,3.28,3.22,76560000,,,7315,
2002-10-07,0,0,289,406000.0,Inundações,2002/2003,6393.5,2002-10-14,19.67,26.97,35.33,76560000,10.715609936967,15053.763440860215,7315,
