Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-05,0,0,7148,8514385.6,Enxurradas,2023/2024,,,,,,87317060,,,6747
2023-06-17,3,0,8222,7724220.0,Enxurradas,2023/2024,,,,,,87317060,,,6747
2023-03-08,0,0,4800,383955.0,Enxurradas,2023/2024,,,,,,87317060,,,6747
2020-07-16,0,0,1970,1157249.43,Enxurradas,2020/2021,,,,,,87317060,,,6747
2017-06-02,0,0,2572,1906364.0,Enxurradas,2017/2018,,,,,,87317060,,,6747
2017-01-06,0,0,3600,6277997.0,Enxurradas,2017/2018,,,,,,87317060,,,6747
2011-02-26,0,0,0,1156180.0,Enxurradas,2011/2012,,,,,,87317060,,,6747
2009-09-27,0,0,5706,2083000.0,Enxurradas,2009/2010,,,,,,87317060,,,6747
2007-03-03,0,0,376,1030000.0,Enxurradas,2007/2008,,,,,,87317060,,,6747
2007-01-29,0,0,17,637000.0,Enxurradas,2007/2008,,,,,,87317060,,,6747
2001-01-19,0,0,0,0.0,Enxurradas,2001/2002,,,,,,87317060,,,6747
2000-02-15,0,0,0,0.0,Inundações,2000/2001,,,,,,87317060,,,6747
1996-01-24,0,0,0,0.0,Enxurradas,1996/1997,,,,,,87317060,,,6747
1995-12-26,0,0,0,0.0,Enxurradas,1995/1996,,,,,,87317060,,,6747
1995-01-17,0,0,0,0.0,Enxurradas,1995/1996,,,,,,87317060,,,6747
1994-03-20,0,0,0,0.0,Enxurradas,1994/1995,,,,,,87317060,,,6747
2023-12-05,0,0,7148,8514385.6,Enxurradas,2023/2024,,,,,,87317060,,,6747
2023-06-17,3,0,8222,7724220.0,Enxurradas,2023/2024,,,,,,87317060,,,6747
2023-03-08,0,0,4800,383955.0,Enxurradas,2023/2024,,,,,,87317060,,,6747
2020-07-16,0,0,1970,1157249.43,Enxurradas,2020/2021,,,,,,87317060,,,6747
2017-06-02,0,0,2572,1906364.0,Enxurradas,2017/2018,,,,,,87317060,,,6747
2017-01-06,0,0,3600,6277997.0,Enxurradas,2017/2018,,,,,,87317060,,,6747
2011-02-26,0,0,0,1156180.0,Enxurradas,2011/2012,,,,,,87317060,,,6747
2009-09-27,0,0,5706,2083000.0,Enxurradas,2009/2010,,,,,,87317060,,,6747
2007-03-03,0,0,376,1030000.0,Enxurradas,2007/2008,,,,,,87317060,,,6747
2007-01-29,0,0,17,637000.0,Enxurradas,2007/2008,,,,,,87317060,,,6747
2001-01-19,0,0,0,0.0,Enxurradas,2001/2002,,,,,,87317060,,,6747
2000-02-15,0,0,0,0.0,Inundações,2000/2001,,,,,,87317060,,,6747
1996-01-24,0,0,0,0.0,Enxurradas,1996/1997,,,,,,87317060,,,6747
1995-12-26,0,0,0,0.0,Enxurradas,1995/1996,,,,,,87317060,,,6747
1995-01-17,0,0,0,0.0,Enxurradas,1995/1996,,,,,,87317060,,,6747
1994-03-20,0,0,0,0.0,Enxurradas,1994/1995,,,,,,87317060,,,6747
2023-12-05,0,0,7148,8514385.6,Enxurradas,2023/2024,333.9,2023-11-18,4.09,5.1,5.31,87317030,1401.5686274509806,1669487.3725490198,6747
2023-06-17,3,0,8222,7724220.0,Enxurradas,2023/2024,333.9,2023-11-18,4.09,5.1,5.31,87317030,1612.156862745098,1514552.9411764706,6747
2023-03-08,0,0,4800,383955.0,Enxurradas,2023/2024,333.9,2023-11-18,4.09,5.1,5.31,87317030,941.1764705882354,75285.29411764706,6747
2020-07-16,0,0,1970,1157249.43,Enxurradas,2020/2021,461.7,2020-07-08,11.25,18.92,21.33,87317030,104.12262156448202,61165.40327695559,6747
2017-06-02,0,0,2572,1906364.0,Enxurradas,2017/2018,192.7,2017-06-01,1.67,1.55,1.53,87317030,1659.354838709677,1229912.258064516,6747
2017-01-06,0,0,3600,6277997.0,Enxurradas,2017/2018,192.7,2017-06-01,1.67,1.55,1.53,87317030,2322.5806451612902,4050320.64516129,6747
2011-02-26,0,0,0,1156180.0,Enxurradas,2011/2012,201.0,2011-07-21,1.8,1.64,1.62,87317030,,704987.8048780488,6747
2009-09-27,0,0,5706,2083000.0,Enxurradas,2009/2010,290.8,2009-09-27,3.21,3.39,3.45,87317030,1683.1858407079646,614454.2772861357,6747
2007-03-03,0,0,376,1030000.0,Enxurradas,2007/2008,395.2,2007-01-29,6.43,9.45,10.2,87317030,39.78835978835979,108994.708994709,6747
2007-01-29,0,0,17,637000.0,Enxurradas,2007/2008,395.2,2007-01-29,6.43,9.45,10.2,87317030,1.798941798941799,67407.40740740742,6747
2001-01-19,0,0,0,0.0,Enxurradas,2001/2002,264.9,2001-07-20,2.81,2.69,2.71,87317030,,,6747
2000-02-15,0,0,0,0.0,Inundações,2000/2001,425.2,2000-02-14,9.0,12.9,14.19,87317030,,,6747
1996-01-24,0,0,0,0.0,Enxurradas,1996/1997,215.8,1996-01-19,2.14,1.82,1.8,87317030,,,6747
1995-12-26,0,0,0,0.0,Enxurradas,1995/1996,119.7,1995-07-20,1.07,1.1,1.09,87317030,,,6747
1995-01-17,0,0,0,0.0,Enxurradas,1995/1996,119.7,1995-07-20,1.07,1.1,1.09,87317030,,,6747
1994-03-20,0,0,0,0.0,Enxurradas,1994/1995,196.8,1994-05-14,1.73,1.59,1.57,87317030,,,6747
