Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,46643,2050000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,3407.0854638422206,149744.33893352814,45523,Sim
2023-01-13,0,0,0,200000.0,Alagamentos,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,,14609.203798392988,45523,Sim
2017-05-31,0,0,0,1000.0,Chuvas Intensas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,,578.0346820809249,45523,Sim
2001-01-02,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,45523,Sim
2023-09-04,0,0,46643,2050000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,17085.347985347984,750915.750915751,45523,
2023-01-13,0,0,0,200000.0,Alagamentos,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,,73260.07326007326,45523,
2017-05-31,0,0,0,1000.0,Chuvas Intensas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,,74.29420505200594,45523,
2001-01-02,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,45523,
2023-09-04,0,0,46643,2050000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,7959.556313993174,349829.3515358362,45523,
2023-01-13,0,0,0,200000.0,Alagamentos,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,,34129.6928327645,45523,
2017-05-31,0,0,0,1000.0,Chuvas Intensas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,,163.3986928104575,45523,
2001-01-02,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,45523,
