Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-16,0,0,5134,3489012.0,Chuvas Intensas,2023/2024,1773.2,2023-11-17,5.12,5.86,5.34,72849000,876.1092150170648,595394.5392491467,4239,
2023-10-06,0,0,5134,1102964.0,Chuvas Intensas,2023/2024,1773.2,2023-11-17,5.12,5.86,5.34,72849000,876.1092150170648,188219.11262798632,4239,
2023-10-04,0,0,620,8250.0,Enxurradas,2023/2024,1773.2,2023-11-17,5.12,5.86,5.34,72849000,105.80204778156995,1407.8498293515358,4239,
2023-06-23,0,0,4239,3560.0,Enxurradas,2023/2024,1773.2,2023-11-17,5.12,5.86,5.34,72849000,723.3788395904436,607.5085324232082,4239,
2022-06-22,0,0,170,839094.0,Enxurradas,2022/2023,2127.5,2022-10-11,8.2,14.23,10.06,72849000,11.946591707659874,58966.54954321855,4239,
2014-07-05,0,0,2577,4660260.0,Enxurradas,2014/2015,2567.0,2014-06-27,41.0,51.9,22.82,72849000,49.653179190751445,89793.06358381503,4239,
2011-03-30,0,0,0,145000.0,Enxurradas,2011/2012,1893.0,2011-09-09,6.83,7.77,6.59,72849000,,18661.51866151866,4239,
2010-04-25,0,0,0,0.0,Enxurradas,2010/2011,1849.8,2010-04-23,5.86,7.01,6.1,72849000,,,4239,
2002-10-30,0,0,0,0.0,Enxurradas,2002/2003,609.7,2002-12-06,1.17,1.15,1.16,72849000,,,4239,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1168.7,1993-10-04,1.95,1.93,2.06,72849000,,,4239,
2023-11-16,0,0,5134,3489012.0,Chuvas Intensas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,244.24357754519505,165985.34728829685,4239,
2023-10-06,0,0,5134,1102964.0,Chuvas Intensas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,244.24357754519505,52472.1217887726,4239,
2023-10-04,0,0,620,8250.0,Enxurradas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,29.495718363463368,392.4833491912464,4239,
2023-06-23,0,0,4239,3560.0,Enxurradas,2023/2024,2039.9,2023-11-17,17.4,21.02,16.56,72680000,201.6650808753568,169.36251189343483,4239,
2022-06-22,0,0,170,839094.0,Enxurradas,2022/2023,1138.8,2022-05-30,2.35,2.15,2.22,72680000,79.06976744186046,390276.27906976745,4239,
2014-07-05,0,0,2577,4660260.0,Enxurradas,2014/2015,2224.5,2014-06-27,29.0,37.08,26.03,72680000,69.49838187702265,125681.2297734628,4239,
2011-03-30,0,0,0,145000.0,Enxurradas,2011/2012,1525.1,2011-07-22,5.44,5.02,4.92,72680000,,28884.462151394426,4239,
2010-04-25,0,0,0,0.0,Enxurradas,2010/2011,1275.2,2010-09-24,3.0,2.82,2.89,72680000,,,4239,
2002-10-30,0,0,0,0.0,Enxurradas,2002/2003,1121.4,2002-09-18,2.12,2.09,2.15,72680000,,,4239,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1960.2,1993-07-05,14.5,16.57,13.65,72680000,,,4239,
2023-11-16,0,0,5134,3489012.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,1402.7322404371585,953281.9672131148,4239,
2023-10-06,0,0,5134,1102964.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,1402.7322404371585,301356.28415300546,4239,
2023-10-04,0,0,620,8250.0,Enxurradas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,169.39890710382514,2254.098360655737,4239,
2023-06-23,0,0,4239,3560.0,Enxurradas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,1158.1967213114754,972.6775956284152,4239,
2022-06-22,0,0,170,839094.0,Enxurradas,2022/2023,406.2,2022-05-05,2.06,2.23,2.16,72430000,76.23318385650224,376275.33632286993,4239,
2014-07-05,0,0,2577,4660260.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,283.1868131868132,512116.4835164835,4239,
2011-03-30,0,0,0,145000.0,Enxurradas,2011/2012,615.2,2011-07-22,6.8,6.9,7.37,72430000,,21014.492753623188,4239,
2010-04-25,0,0,0,0.0,Enxurradas,2010/2011,461.2,2010-09-24,2.83,2.95,2.9,72430000,,,4239,
2002-10-30,0,0,0,0.0,Enxurradas,2002/2003,304.8,2002-06-14,1.45,1.44,1.4,72430000,,,4239,
