Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-17,0,0,25,568943.63,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,14.792899408284024,336653.0355029586,3981
2017-06-08,0,0,187,187150.0,Enxurradas,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,53.89048991354466,53933.71757925072,3981
2010-11-27,0,0,0,0.0,Inundações,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,,,3981
2010-01-04,0,15,4819,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,45.34249153180279,,3981
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,3981
2000-02-23,0,0,0,0.0,Inundações,2000/2001,486.2,2000-10-13,2.52,2.32,2.32,86745000,,,3981
2023-11-17,0,0,25,568943.63,Chuvas Intensas,2023/2024,,,,,,86895000,,,3981
2017-06-08,0,0,187,187150.0,Enxurradas,2017/2018,,,,,,86895000,,,3981
2010-11-27,0,0,0,0.0,Inundações,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,3981
2010-01-04,0,15,4819,0.0,Enxurradas,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1054.4857768052516,,3981
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,3981
2000-02-23,0,0,0,0.0,Inundações,2000/2001,,,,,,86895000,,,3981
