Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2018-12-26,0,0,2560,0.0,Alagamentos,2018/2019,1534.4,2018-11-24,8.5,8.37,5.73,76100000,305.8542413381124,,4760
2015-10-14,0,0,196,769771.0,Chuvas Intensas,2015/2016,1641.6,2015-12-24,17.0,13.72,7.34,76100000,14.285714285714285,56105.75801749271,4760
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,,4760
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,,,4760
2009-11-30,0,0,0,164000.0,Enxurradas,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,,75925.92592592593,4760
2018-12-26,0,0,2560,0.0,Alagamentos,2018/2019,11494.8,2018-11-08,1.16,1.19,1.21,77150000,2151.2605042016808,,4760
2015-10-14,0,0,196,769771.0,Chuvas Intensas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,7.020057306590258,27570.59455587392,4760
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,4760
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,,4760
2009-11-30,0,0,0,164000.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,39613.52657004832,4760
2018-12-26,0,0,2560,0.0,Alagamentos,2018/2019,2693.8,2018-10-04,1.79,1.84,1.87,76500000,1391.304347826087,,4760
2015-10-14,0,0,196,769771.0,Chuvas Intensas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,9.21485660554772,36190.456041372825,4760
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,4760
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,,4760
2009-11-30,0,0,0,164000.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,5131.4142678347935,4760
2018-12-26,0,0,2560,0.0,Alagamentos,2018/2019,1534.4,2018-11-24,8.5,8.37,5.73,76100000,305.8542413381124,,4760
2015-10-14,0,0,196,769771.0,Chuvas Intensas,2015/2016,1641.6,2015-12-24,17.0,13.72,7.34,76100000,14.285714285714285,56105.75801749271,4760
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,1707.0,2010-01-05,21.25,19.14,8.57,76100000,,,4760
2009-12-04,0,0,0,0.0,Enxurradas,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,,,4760
2009-11-30,0,0,0,164000.0,Enxurradas,2009/2010,1113.9,2009-08-10,1.98,2.16,2.35,76100000,,75925.92592592593,4760
