Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,6000,29189300.0,Chuvas Intensas,2023/2024,,,,,,87270000,,,66157,Sim
2023-09-05,0,0,10640,0.0,Chuvas Intensas,2023/2024,,,,,,87270000,,,66157,Sim
2023-06-16,0,0,10652,15631500.0,Chuvas Intensas,2023/2024,,,,,,87270000,,,66157,Sim
2020-07-15,0,0,15000,152500.0,Inundações,2020/2021,,,,,,87270000,,,66157,Sim
2019-04-27,0,0,20010,487649.1,Enxurradas,2019/2020,,,,,,87270000,,,66157,Sim
2017-05-24,0,0,2502,10706171.0,Inundações,2017/2018,,,,,,87270000,,,66157,Sim
2016-10-19,0,18,8726,12134037.0,Inundações,2016/2017,,,,,,87270000,,,66157,Sim
2015-10-30,0,0,17098,8133469.0,Enxurradas,2015/2016,,,,,,87270000,,,66157,Sim
2015-07-31,0,0,16000,7939478.0,Enxurradas,2015/2016,,,,,,87270000,,,66157,Sim
2013-09-06,1,0,668,10360000.0,Inundações,2013/2014,1147.3,2013-08-26,12.0,12.16,6.09,87270000,54.93421052631579,851973.6842105263,66157,Sim
2011-07-21,0,0,14230,9680000.0,Inundações,2011/2012,1152.9,2011-07-22,15.0,12.71,6.21,87270000,1119.590873328088,761605.0354051928,66157,Sim
2011-04-22,0,0,7400,1056400.0,Enxurradas,2011/2012,1152.9,2011-07-22,15.0,12.71,6.21,87270000,582.2187254130605,83115.65696302123,66157,Sim
2007-07-11,0,0,16,0.0,Inundações,2007/2008,1241.8,2007-07-10,60.0,27.19,8.49,87270000,0.5884516366311143,,66157,Sim
2003-07-09,0,0,64,0.0,Inundações,2003/2004,980.0,2003-07-10,3.75,4.05,3.49,87270000,15.80246913580247,,66157,Sim
1994-03-29,0,0,0,0.0,Enxurradas,1994/1995,697.5,1994-08-17,1.43,1.44,1.59,87270000,,,66157,Sim
