Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-01,0,0,0,1200000.0,Chuvas Intensas,2023/2024,250.4,2023-07-13,2.26,2.65,2.77,88850000,,452830.1886792453,6609,
2021-12-30,0,0,200,0.0,Chuvas Intensas,2021/2022,146.7,2021-09-08,1.36,1.25,1.27,88850000,160.0,,6609,
2019-10-30,0,0,10,103000.0,Chuvas Intensas,2019/2020,256.8,2019-09-11,2.44,2.83,2.94,88850000,3.53356890459364,36395.75971731449,6609,
2016-04-27,0,0,3600,110000.0,Chuvas Intensas,2016/2017,207.5,2016-04-25,1.79,1.81,1.89,88850000,1988.9502762430936,60773.48066298342,6609,
2009-01-28,0,0,0,125000.0,Enxurradas,2009/2010,194.2,2009-01-28,1.56,1.64,1.71,88850000,,76219.51219512196,6609,
2023-09-01,0,0,0,1200000.0,Chuvas Intensas,2023/2024,57.8,2023-07-13,1.88,1.88,1.86,88750000,,638297.8723404256,6609,Sim
2021-12-30,0,0,200,0.0,Chuvas Intensas,2021/2022,38.9,2021-08-25,1.35,1.31,1.3,88750000,152.67175572519082,,6609,Sim
2019-10-30,0,0,10,103000.0,Chuvas Intensas,2019/2020,75.6,2019-10-30,3.44,2.9,2.9,88750000,3.4482758620689657,35517.24137931035,6609,Sim
2016-04-27,0,0,3600,110000.0,Chuvas Intensas,2016/2017,49.7,2016-04-24,1.63,1.59,1.56,88750000,2264.1509433962265,69182.38993710691,6609,Sim
2009-01-28,0,0,0,125000.0,Enxurradas,2009/2010,86.3,2009-01-29,3.65,3.88,3.93,88750000,,32216.494845360827,6609,Sim
