Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-06,14,150,3415,2300000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,446.9895287958115,301047.1204188482,4967,Sim
2020-07-11,0,0,1830,1788240.0,Inundações,2020/2021,5077.1,2020-07-08,86.0,134.94,832.16,86580000,13.561582925744776,13252.11204979991,4967,Sim
2013-11-21,0,0,1070,257271.0,Enxurradas,2013/2014,1816.0,2013-08-25,4.53,4.48,4.53,86580000,238.8392857142857,57426.56249999999,4967,Sim
2011-07-21,0,0,1982,836720.0,Inundações,2011/2012,4287.1,2011-07-21,43.0,64.59,228.84,86580000,30.685864684935748,12954.327295246942,4967,Sim
2008-10-26,0,0,600,2673000.0,Inundações,2008/2009,2665.5,2008-10-26,12.29,11.93,16.59,86580000,50.29337803855826,224056.99916177703,4967,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,3942.7,2001-10-01,28.67,46.07,130.48,86580000,,,4967,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,3606.1,1992-05-28,21.5,32.76,75.44,86580000,,,4967,Sim
2023-09-06,14,150,3415,2300000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,403.6643026004728,271867.61229314416,4967,
2020-07-11,0,0,1830,1788240.0,Inundações,2020/2021,10536.6,2020-07-08,9.56,14.83,13.15,86510000,123.39851652056642,120582.6028320971,4967,
2013-11-21,0,0,1070,257271.0,Enxurradas,2013/2014,7855.0,2013-08-25,4.1,4.6,4.62,86510000,232.60869565217396,55928.47826086957,4967,
2011-07-21,0,0,1982,836720.0,Inundações,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,50.53544110147884,21334.01325854156,4967,
2008-10-26,0,0,600,2673000.0,Inundações,2008/2009,10669.4,2008-10-27,14.33,15.78,13.88,86510000,38.02281368821293,169391.6349809886,4967,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,4967,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,8658.1,1992-05-28,5.38,6.4,6.26,86510000,,,4967,
2023-09-06,14,150,3415,2300000.0,Chuvas Intensas,2023/2024,2273.8,2023-09-04,7.82,7.64,8.98,86580000,446.9895287958115,301047.1204188482,4967,Sim
2020-07-11,0,0,1830,1788240.0,Inundações,2020/2021,5077.1,2020-07-08,86.0,134.94,832.16,86580000,13.561582925744776,13252.11204979991,4967,Sim
2013-11-21,0,0,1070,257271.0,Enxurradas,2013/2014,1816.0,2013-08-25,4.53,4.48,4.53,86580000,238.8392857142857,57426.56249999999,4967,Sim
2011-07-21,0,0,1982,836720.0,Inundações,2011/2012,4287.1,2011-07-21,43.0,64.59,228.84,86580000,30.685864684935748,12954.327295246942,4967,Sim
2008-10-26,0,0,600,2673000.0,Inundações,2008/2009,2665.5,2008-10-26,12.29,11.93,16.59,86580000,50.29337803855826,224056.99916177703,4967,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,3942.7,2001-10-01,28.67,46.07,130.48,86580000,,,4967,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,3606.1,1992-05-28,21.5,32.76,75.44,86580000,,,4967,Sim
2023-09-06,14,150,3415,2300000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,403.6643026004728,271867.61229314416,4967,
2020-07-11,0,0,1830,1788240.0,Inundações,2020/2021,10536.6,2020-07-08,9.56,14.83,13.15,86510000,123.39851652056642,120582.6028320971,4967,
2013-11-21,0,0,1070,257271.0,Enxurradas,2013/2014,7855.0,2013-08-25,4.1,4.6,4.62,86510000,232.60869565217396,55928.47826086957,4967,
2011-07-21,0,0,1982,836720.0,Inundações,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,50.53544110147884,21334.01325854156,4967,
2008-10-26,0,0,600,2673000.0,Inundações,2008/2009,10669.4,2008-10-27,14.33,15.78,13.88,86510000,38.02281368821293,169391.6349809886,4967,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,4967,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,8658.1,1992-05-28,5.38,6.4,6.26,86510000,,,4967,
