Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-16,0,0,12076,755060.0,Enxurradas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,542.9856115107914,33950.539568345324,11574,Sim
2023-11-01,0,0,0,0.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,,,11574,Sim
2023-10-17,0,0,12076,1264500.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,542.9856115107914,56857.01438848921,11574,Sim
2019-05-11,0,0,0,0.0,Enxurradas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,,,11574,Sim
2019-01-14,0,0,0,0.0,Enxurradas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,,,11574,Sim
2017-06-01,0,0,4018,3650750.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,821.676891615542,746574.6421267894,11574,Sim
2015-12-23,0,0,3590,717182.0,Enxurradas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,871.3592233009708,174073.3009708738,11574,Sim
2014-07-02,0,0,2240,1167100.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,204.5662100456621,106584.47488584476,11574,Sim
2009-11-26,0,0,0,544000.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,100740.74074074072,11574,Sim
1997-09-30,0,0,0,0.0,Enxurradas,1997/1998,23764.7,1997-10-12,8.25,7.47,8.68,74100000,,,11574,Sim
1993-12-27,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,11574,Sim
