Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,1850,208000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,135.13513513513513,15193.571950328707,3698,
2017-06-08,0,0,1787,813860.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,1032.9479768786127,470439.3063583815,3698,
2014-07-09,0,0,300,0.0,Enxurradas,2014/2015,6011.1,2014-10-19,1.86,1.85,1.85,86720000,162.16216216216216,,3698,
2011-07-21,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,3698,
2011-03-26,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,3698,
2010-01-04,0,0,0,2368000.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,,1195959.595959596,3698,
2007-09-23,0,0,0,745000.0,Inundações,2007/2008,10641.1,2007-07-11,5.31,6.98,7.11,86720000,,106733.52435530083,3698,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,3698,
2023-09-04,0,0,1850,208000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,677.6556776556777,76190.4761904762,3698,Sim
2017-06-08,0,0,1787,813860.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,132.76374442793465,60465.08172362555,3698,Sim
2014-07-09,0,0,300,0.0,Enxurradas,2014/2015,776.8,2014-10-19,2.26,2.33,2.45,86560000,128.75536480686694,,3698,Sim
2011-07-21,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,3698,Sim
2011-03-26,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,3698,Sim
2010-01-04,0,0,0,2368000.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,,456262.04238921,3698,Sim
2007-09-23,0,0,0,745000.0,Inundações,2007/2008,1246.2,2007-07-10,9.56,13.12,10.62,86560000,,56783.53658536586,3698,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,3698,Sim
