Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-04,0,0,9649,33788780.0,Alagamentos,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,530.7480748074807,1858568.7568756875,10089
2019-11-05,0,0,1300,2018890.68,Enxurradas,2019/2020,340.4,2019-11-05,1.35,1.25,1.28,86480000,1040.0,1615112.544,10089
2017-06-08,0,0,1500,0.0,Chuvas Intensas,2017/2018,623.0,2017-04-26,2.8,2.8,2.95,86480000,535.7142857142858,,10089
2017-05-26,0,0,0,0.0,Enxurradas,2017/2018,623.0,2017-04-26,2.8,2.8,2.95,86480000,,,10089
1993-10-01,0,0,0,0.0,Inundações,1993/1994,455.4,1993-07-04,1.59,1.6,1.69,86480000,,,10089
2023-09-04,0,0,9649,33788780.0,Alagamentos,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,1140.5437352245865,3993945.626477541,10089
2019-11-05,0,0,1300,2018890.68,Enxurradas,2019/2020,5224.1,2019-11-05,1.87,1.87,1.92,86510000,695.187165775401,1079620.6844919785,10089
2017-06-08,0,0,1500,0.0,Chuvas Intensas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,937.5,,10089
2017-05-26,0,0,0,0.0,Enxurradas,2017/2018,4633.7,2017-06-08,1.62,1.6,1.64,86510000,,,10089
1993-10-01,0,0,0,0.0,Inundações,1993/1994,6241.7,1993-07-05,2.53,2.55,2.63,86510000,,,10089
2023-09-04,0,0,9649,33788780.0,Alagamentos,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,2493.2816537467697,8730950.904392764,10089
2019-11-05,0,0,1300,2018890.68,Enxurradas,2019/2020,624.1,2019-11-05,1.83,1.77,1.77,86500000,734.4632768361582,1140616.2033898304,10089
2017-06-08,0,0,1500,0.0,Chuvas Intensas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,319.8294243070362,,10089
2017-05-26,0,0,0,0.0,Enxurradas,2017/2018,966.5,2017-06-08,4.3,4.69,4.75,86500000,,,10089
1993-10-01,0,0,0,0.0,Inundações,1993/1994,534.0,1993-07-06,1.54,1.46,1.46,86500000,,,10089
