Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-12-05,0,0,4671,350000.0,Chuvas Intensas,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,434.9162011173185,32588.454376163874,5465
2021-07-01,0,0,0,0.0,Enxurradas,2021/2022,9453.9,2021-10-20,1.05,1.09,1.08,77150000,,,5465
2015-10-18,0,0,4671,982514.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,167.2994269340974,35190.32951289398,5465
2010-12-02,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,5465
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,5465
2010-01-11,0,0,0,0.0,Enxurradas,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,5465
2009-12-02,0,0,0,1770581.0,Enxurradas,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,,427676.5700483092,5465
2002-10-11,0,0,0,0.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,,,5465
2023-12-05,0,0,4671,350000.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,2048.684210526316,153508.77192982458,5465
2021-07-01,0,0,0,0.0,Enxurradas,2021/2022,3267.4,2021-09-12,2.44,2.73,2.78,76500000,,,5465
2015-10-18,0,0,4671,982514.0,Enxurradas,2015/2016,5485.0,2015-10-13,15.25,21.27,18.69,76500000,219.60507757404795,46192.4776680771,5465
2010-12-02,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,5465
2010-05-20,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,5465
2010-01-11,0,0,0,0.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,,,5465
2009-12-02,0,0,0,1770581.0,Enxurradas,2009/2010,5874.0,2009-11-26,30.5,31.96,26.76,76500000,,55399.90613266584,5465
2002-10-11,0,0,0,0.0,Inundações,2002/2003,5475.8,2002-10-14,12.2,21.07,18.54,76500000,,,5465
