Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,0,0.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,6519,Sim
2023-09-14,0,0,0,0.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,6519,Sim
2023-07-13,0,0,0,0.0,Chuvas Intensas,2023/2024,3832.4,2023-09-16,22.5,24.95,8.68,85642000,,,6519,Sim
2019-10-31,0,0,0,400000.0,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,,43668.12227074236,6519,Sim
2019-05-30,0,0,0,550000.0,Chuvas Intensas,2019/2020,3472.6,2019-11-03,11.25,9.16,5.57,85642000,,60043.66812227074,6519,Sim
2015-10-14,0,0,55,480185.0,Alagamentos,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,0.3303700144161461,2884.340461316675,6519,Sim
2013-11-12,0,0,0,0.0,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,,,6519,Sim
2010-01-04,0,35,7056,250000.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,2321.0526315789475,82236.84210526316,6519,Sim
2009-11-30,0,0,0,165100.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,38306.2645011601,6519,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,6519,Sim
2001-01-11,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,6519,Sim
