Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,23300,3000000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,85.14525854193313,10962.908825141603,21717,Sim
2023-06-16,0,0,19058,700000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,69.6437054631829,2558.012059199708,21717,Sim
2016-10-21,0,1,34,766110.0,Enxurradas,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,9.418282548476457,212218.83656509692,21717,Sim
2010-03-18,0,0,0,0.0,Enxurradas,2010/2011,474.7,2010-07-22,1.65,1.53,1.55,87160000,,,21717,Sim
2009-09-27,0,0,8584,0.0,Enxurradas,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,1337.0716510903426,,21717,Sim
2009-09-15,0,0,2,0.0,Movimento de Massa,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,0.3115264797507788,,21717,Sim
1992-07-15,0,0,0,0.0,Inundações,1992/1993,470.4,1992-05-28,1.62,1.52,1.54,87160000,,,21717,Sim
2023-11-18,0,0,23300,3000000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,85.14525854193313,10962.908825141603,21717,Sim
2023-06-16,0,0,19058,700000.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,69.6437054631829,2558.012059199708,21717,Sim
2016-10-21,0,1,34,766110.0,Enxurradas,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,9.418282548476457,212218.83656509692,21717,Sim
2010-03-18,0,0,0,0.0,Enxurradas,2010/2011,474.7,2010-07-22,1.65,1.53,1.55,87160000,,,21717,Sim
2009-09-27,0,0,8584,0.0,Enxurradas,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,1337.0716510903426,,21717,Sim
2009-09-15,0,0,2,0.0,Movimento de Massa,2009/2010,975.2,2009-09-12,6.46,6.42,6.31,87160000,0.3115264797507788,,21717,Sim
1992-07-15,0,0,0,0.0,Inundações,1992/1993,470.4,1992-05-28,1.62,1.52,1.54,87160000,,,21717,Sim
