Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-09-22,0,0,4272,1648770.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1463.013698630137,564647.2602739726,4185
2022-07-01,0,0,569,3910060.0,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,211.52416356877325,1453553.903345725,4185
2022-06-28,0,0,0,0.0,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,,,4185
2017-06-14,0,0,1859,401355.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,668.7050359712231,144372.30215827338,4185
2014-07-07,0,0,3,0.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,0.970873786407767,,4185
2013-10-26,0,0,1600,560000.0,Chuvas Intensas,2013/2014,12278.0,2013-09-23,2.12,2.58,1.94,74500000,620.1550387596899,217054.26356589148,4185
2010-02-02,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,4185
2009-12-02,0,0,0,1600.0,Enxurradas,2009/2010,,,,,,74500000,,,4185
1997-10-02,0,0,0,0.0,Enxurradas,1997/1998,,,,,,74500000,,,4185
2023-09-22,0,0,4272,1648770.0,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,1582.2222222222222,610655.5555555555,4185
2022-07-01,0,0,569,3910060.0,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,265.8878504672897,1827130.8411214952,4185
2022-06-28,0,0,0,0.0,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,,,4185
2017-06-14,0,0,1859,401355.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,350.7547169811321,75727.35849056604,4185
2014-07-07,0,0,3,0.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,0.1233045622688039,,4185
2013-10-26,0,0,1600,560000.0,Chuvas Intensas,2013/2014,2089.7,2013-08-26,2.43,2.44,2.39,74270000,655.7377049180328,229508.19672131148,4185
2010-02-02,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,4185
2009-12-02,0,0,0,1600.0,Enxurradas,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,737.3271889400922,4185
1997-10-02,0,0,0,0.0,Enxurradas,1997/1998,3760.2,1997-10-30,12.14,11.43,12.69,74270000,,,4185
