Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,4000,19671.99,Inundações,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,101.29146619397316,498.1511775132945,247303,
2023-09-07,0,0,15,0.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,0.3798429982273993,,247303,
2023-06-16,1,0,10000,82155736.0,Inundações,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,253.2286654849329,2080418.7389212456,247303,
2023-01-05,0,0,2000,0.0,Chuvas Intensas,2023/2024,1015.0,2023-06-16,26.5,39.49,57.83,87382000,50.645733096986575,,247303,
2020-07-09,0,0,0,0.0,Inundações,2020/2021,613.4,2020-07-12,4.82,4.81,4.9,87382000,,,247303,
2019-03-11,0,0,8684,6560000.0,Enxurradas,2019/2020,410.5,2019-11-09,1.83,1.83,1.77,87382000,4745.35519125683,3584699.453551912,247303,
2015-08-03,0,3,5397,0.0,Chuvas Intensas,2015/2016,872.9,2015-07-23,17.67,18.81,23.59,87382000,286.92185007974484,,247303,
2013-09-04,0,0,239051,12573481.51,Chuvas Intensas,2013/2014,1030.2,2013-08-28,53.0,42.71,63.69,87382000,5597.073284944978,294391.98103488644,247303,
2011-04-22,3,0,7953,0.0,Movimento de Massa,2011/2012,691.7,2011-07-24,7.57,7.22,7.75,87382000,1101.5235457063711,,247303,
2009-09-14,0,0,3551,0.0,Inundações,2009/2010,662.8,2009-09-15,5.89,6.21,6.53,87382000,571.8196457326892,,247303,
2002-06-14,0,0,1828,0.0,Inundações,2002/2003,589.2,2002-06-15,4.08,4.25,4.28,87382000,430.11764705882354,,247303,
2023-11-21,0,0,4000,19671.99,Inundações,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,120.30075187969923,591.6387969924813,247303,Sim
2023-09-07,0,0,15,0.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,0.4511278195488721,,247303,Sim
2023-06-16,1,0,10000,82155736.0,Inundações,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,300.7518796992481,2470849.203007519,247303,Sim
2023-01-05,0,0,2000,0.0,Chuvas Intensas,2023/2024,535.3,2023-06-19,43.5,33.25,10.01,87380000,60.15037593984962,,247303,Sim
2020-07-09,0,0,0,0.0,Inundações,2020/2021,473.3,2020-07-10,10.88,10.57,6.1,87380000,,,247303,Sim
2019-03-11,0,0,8684,6560000.0,Enxurradas,2019/2020,340.5,2019-11-08,2.02,2.17,2.33,87380000,4001.84331797235,3023041.474654378,247303,Sim
2015-08-03,0,3,5397,0.0,Chuvas Intensas,2015/2016,504.8,2015-07-22,29.0,18.28,7.82,87380000,295.24070021881835,,247303,Sim
2013-09-04,0,0,239051,12573481.51,Chuvas Intensas,2013/2014,539.7,2013-08-28,87.0,36.45,10.37,87380000,6558.326474622771,344951.4817558299,247303,Sim
2011-04-22,3,0,7953,0.0,Movimento de Massa,2011/2012,481.6,2011-07-23,17.4,12.12,6.51,87380000,656.1881188118813,,247303,Sim
2009-09-14,0,0,3551,0.0,Inundações,2009/2010,471.3,2009-09-30,9.67,10.23,6.0,87380000,347.1163245356794,,247303,Sim
2002-06-14,0,0,1828,0.0,Inundações,2002/2003,435.2,2002-06-14,5.12,5.97,4.55,87380000,306.1976549413736,,247303,Sim
