Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-19,0,0,2146,85198.8,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,734.931506849315,29177.671232876717,2189
2022-06-01,0,0,2277,1618705.73,Enxurradas,2022/2023,15002.0,2022-10-12,2.43,2.69,2.86,74500000,846.4684014869889,601749.3420074349,2189
2017-06-08,0,0,2277,813200.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,819.0647482014389,292517.9856115108,2189
2015-01-13,0,0,2330,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,814.6853146853147,,2189
2014-06-30,0,0,2330,0.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,754.0453074433657,,2189
2010-12-13,0,0,0,2552400.0,Enxurradas,2010/2011,,,,,,74500000,,,2189
2010-04-29,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,2189
2009-11-27,0,0,0,0.0,Inundações,2009/2010,,,,,,74500000,,,2189
2023-10-19,0,0,2146,85198.8,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,794.8148148148148,31555.11111111111,2189
2022-06-01,0,0,2277,1618705.73,Enxurradas,2022/2023,1926.4,2022-05-30,2.02,2.14,2.09,74270000,1064.018691588785,756404.5467289719,2189
2017-06-08,0,0,2277,813200.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,429.622641509434,153433.96226415093,2189
2015-01-13,0,0,2330,0.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,105.95725329695316,,2189
2014-06-30,0,0,2330,0.0,Enxurradas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,95.7665433621044,,2189
2010-12-13,0,0,0,2552400.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,659534.8837209302,2189
2010-04-29,0,0,0,0.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,,2189
2009-11-27,0,0,0,0.0,Inundações,2009/2010,1944.6,2009-09-29,2.18,2.17,2.12,74270000,,,2189
