Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-25,0,0,1646,220513.28,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,563.6986301369864,75518.24657534246,1705
2017-06-14,0,0,845,798719.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,303.9568345323741,287308.9928057554,1705
2015-01-15,0,0,1757,0.0,Enxurradas,2015/2016,21334.6,2015-07-15,5.67,2.86,8.38,74500000,614.3356643356643,,1705
2014-07-18,0,0,763,531596.0,Inundações,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,246.92556634304208,172037.54045307444,1705
2010-01-06,0,0,0,100000.0,Enxurradas,2010/2011,,,,,,74500000,,,1705
2023-10-25,0,0,1646,220513.28,Chuvas Intensas,2023/2024,2215.5,2023-11-18,2.83,2.7,2.67,74270000,609.6296296296296,81671.58518518518,1705
2017-06-14,0,0,845,798719.0,Enxurradas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,159.43396226415095,150701.69811320756,1705
2015-01-15,0,0,1757,0.0,Enxurradas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,79.899954524784,,1705
2014-07-18,0,0,763,531596.0,Inundações,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,31.36046033703247,21849.40402794904,1705
2010-01-06,0,0,0,100000.0,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,25839.793281653747,1705
