Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-07,0,0,3629,2382560.0,Chuvas Intensas,2023/2024,501.9,2023-11-18,4.25,3.66,3.66,72430000,991.5300546448088,650972.6775956284,3731,
2017-05-30,0,0,1000,2519100.0,Enxurradas,2017/2018,480.4,2017-06-06,3.78,3.26,3.23,72430000,306.7484662576687,772730.0613496933,3731,
2016-12-28,0,0,1000,1574389.0,Enxurradas,2016/2017,498.2,2016-10-20,4.0,3.59,3.58,72430000,278.5515320334262,438548.4679665738,3731,
2014-12-03,0,0,0,50000.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,,5494.505494505494,3731,
2014-07-07,0,0,45,1350000.0,Enxurradas,2014/2015,663.6,2014-06-28,8.5,9.1,10.1,72430000,4.945054945054945,148351.64835164836,3731,
2010-01-19,0,0,0,55500.01,Enxurradas,2010/2011,461.2,2010-09-24,2.83,2.95,2.9,72430000,,18813.562711864408,3731,
1993-07-06,0,0,0,0.0,Inundações,1993/1994,1078.1,1993-07-05,68.0,95.25,169.86,72430000,,,3731,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,979.3,1992-05-29,34.0,55.17,85.93,72430000,,,3731,
2023-10-07,0,0,3629,2382560.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,163.1744604316547,107129.4964028777,3731,Sim
2017-05-30,0,0,1000,2519100.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,204.4989775051125,515153.37423312885,3731,Sim
2016-12-28,0,0,1000,1574389.0,Enxurradas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,943.3962264150942,1485272.641509434,3731,Sim
2014-12-03,0,0,0,50000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,,4566.210045662101,3731,Sim
2014-07-07,0,0,45,1350000.0,Enxurradas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,4.109589041095891,123287.67123287672,3731,Sim
2010-01-19,0,0,0,55500.01,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,9487.181196581198,3731,Sim
1993-07-06,0,0,0,0.0,Inundações,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,3731,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,3731,Sim
